title,link,main_category,rating,reviews,website,phone,address
Lan Chi Supermarket,https://www.google.com/maps/place/Lan+Chi+Supermarket/data=!4m7!3m6!1s0x3134f4b44d0fc4ed:0x1acf9771d2c839d!8m2!3d21.2060602!4d105.4158321!16s%2Fg%2F11r8bfqry!19sChIJ7cQPTbT0NDERnYMsHXf5rAE?authuser=0&hl=en&rclk=1,Supermarket,3.9,621,http://lanchi.vn/,0916 603 888,"6C48+C8G Lan Chi Supermarket, QL32, Vật Lại, Ba Vì, Hà Nội"
VM+. Thành Công,https://www.google.com/maps/place/VM%2B.+Th%C3%A0nh+C%C3%B4ng/data=!4m7!3m6!1s0x3134f3baf3c3d5b7:0xd191a438fd1ecd91!8m2!3d21.3120285!4d105.4167827!16s%2Fg%2F11jj56p4pk!19sChIJt9XD87rzNDERkc0e_TikkdE?authuser=0&hl=en&rclk=1,Supermarket,2,2,,,"VM+. Thành Công, 292 Đ. Nguyễn Tất Thành, Ph.Thọ Sơn, Thành phố Việt Trì, Phú Thọ"
Siêu Thị Đệm Ba Vì,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+%C4%90%E1%BB%87m+Ba+V%C3%AC/data=!4m7!3m6!1s0x3134f4e17d3011b1:0x1f480440c21fd9b4!8m2!3d21.1894154!4d105.4360035!16s%2Fg%2F11bccmc2jt!19sChIJsREwfeH0NDERtNkfwkAESB8?authuser=0&hl=en&rclk=1,Grocery store,,,,0374 456 869,"Siêu Thị Đệm Ba Vì, 483 QL32, Chu Minh, Ba Vì, Hà Nội"
Siêu Thị Điện Máy Thủy Cường,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+%C4%90i%E1%BB%87n+M%C3%A1y+Th%E1%BB%A7y+C%C6%B0%E1%BB%9Dng/data=!4m7!3m6!1s0x31348b66636d7973:0xdb7a02c4f0c534c3!8m2!3d21.2261545!4d105.3801676!16s%2Fg%2F11c5sspn0f!19sChIJc3ltY2aLNDERwzTF8MQCets?authuser=0&hl=en&rclk=1,Electrical appliance wholesaler,,,,0983 432 171,"69GJ+F37 Siêu Thị Điện Máy Thủy Cường, Phố Nhông, Ba Vì, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3134f50729c91c03:0x50a53b2aafa4eadb!8m2!3d21.19096!4d105.4342756!16s%2Fg%2F11sh66m_g4!19sChIJAxzJKQf1NDER2-qkryo7pVA?authuser=0&hl=en&rclk=1,Supermarket,,,http://winmart.vn/,024 7106 6866,"5CRM+9PJ WinMart+, Quảng Oai, Ba Vì, Hà Nội"
Lực Tiến Plaza,https://www.google.com/maps/place/L%E1%BB%B1c+Ti%E1%BA%BFn+Plaza/data=!4m7!3m6!1s0x3134f4e22b415ba3:0xc74b656e3ab82de9!8m2!3d21.1873244!4d105.4374714!16s%2Fg%2F11b5wktd07!19sChIJo1tBK-L0NDER6S24Om5lS8c?authuser=0&hl=en&rclk=1,Shopping mall,4.1,420,http://luctien.vn/,1900 1266,"5CPP+WXH Lực Tiến Plaza, QL32, Chu Minh, Ba Vì, Hà Nội"
Thực Phẩm Xanh Mart,https://www.google.com/maps/place/Th%E1%BB%B1c+Ph%E1%BA%A9m+Xanh+Mart/data=!4m7!3m6!1s0x31345f27aff3aafd:0xf5787342cf912e0b!8m2!3d21.0963372!4d105.4351382!16s%2Fg%2F11sbw7dly9!19sChIJ_arzrydfNDERCy6Rz0JzePU?authuser=0&hl=en&rclk=1,Supermarket,,,https://www.facebook.com/Truongbichlien87?mibextid=LQQJ4d,0987 756 550,"3CWP+H32 Thực Phẩm Xanh Mart, Vân Hoà, Ba Vì, Hà Nội"
Đồ gỗ Hữu Mến,https://www.google.com/maps/place/%C4%90%E1%BB%93+g%E1%BB%97+H%E1%BB%AFu+M%E1%BA%BFn/data=!4m7!3m6!1s0x3134f341b1c9cd57:0x48c24c6a9952a381!8m2!3d21.247485!4d105.422963!16s%2Fg%2F11fjzhbv7z!19sChIJV83JsUHzNDERgaNSmWpMwkg?authuser=0&hl=en&rclk=1,Supermarket,5,2,,0987 434 685,"Đồ gỗ Hữu Mến, xóm 3, Ba Vì, Hà Nội"
Nutri Mart+,https://www.google.com/maps/place/Nutri+Mart%2B/data=!4m7!3m6!1s0x31345f0acca65967:0x93a58cb956a2f515!8m2!3d21.1039105!4d105.4146287!16s%2Fg%2F11ryhnv24g!19sChIJZ1mmzApfNDERFfWiVrmMpZM?authuser=0&hl=en&rclk=1,Supermarket,5,2,,0942 886 892,"4C37+HV6 Nutri Mart+, Tân Lĩnh, Ba Vì, Hà Nội"
Lệ Hằng Mart,https://www.google.com/maps/place/L%E1%BB%87+H%E1%BA%B1ng+Mart/data=!4m7!3m6!1s0x31345f44ff5dc203:0x80dee62ef1e8ae9c!8m2!3d21.0759066!4d105.4232846!16s%2Fg%2F11t062f836!19sChIJA8Jd_0RfNDERnK7o8S7m3oA?authuser=0&hl=en&rclk=1,Variety store,4.3,3,,0984 196 886,"3CGF+987 Lệ Hằng Mart, Vân Hoà, Ba Vì, Hà Nội"
