title,link,main_category,rating,reviews,website,phone,address
LOTTE Mart,https://www.google.com/maps/place/LOTTE+Mart/data=!4m7!3m6!1s0x3135ab6c93b61439:0x6a6bc262254f572f!8m2!3d21.0321757!4d105.8124268!16s%2Fg%2F11c1np1ym1!19sChIJORS2k2yrNTERL1dPJWLCa2o?authuser=0&hl=en&rclk=1,Hypermarket,4.3,4597,http://lottemart.com.vn/,024 3724 7501,"LOTTE Mart, 54 P. Liễu Giai, Cống Vị, Ba Đình, Hà Nội"
Siêu thị Intimex Home and Food,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+Intimex+Home+and+Food/data=!4m7!3m6!1s0x3135ab7272f235a3:0x54972e254215382c!8m2!3d21.0295078!4d105.8176052!16s%2Fg%2F11cn0lhk11!19sChIJozXycnKrNTERLDgVQiUul1Q?authuser=0&hl=en&rclk=1,Supermarket,4.1,294,http://intimexco.com/,024 3773 6416,"Siêu thị Intimex Home and Food, 17 P. Ngọc Khánh, Giảng Võ, Ba Đình, Hà Nội"
Siêu thị Teekiu Mart,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+Teekiu+Mart/data=!4m7!3m6!1s0x3135ab0d5889f55b:0x62aa4bbf6cb2c802!8m2!3d21.0340993!4d105.8171456!16s%2Fg%2F1hhwj7vm0!19sChIJW_WJWA2rNTERAsiybL9LqmI?authuser=0&hl=en&rclk=1,Supermarket,4.1,83,,024 3736 7808,"Siêu thị Teekiu Mart, 36A P. Vạn Bảo, Liễu Giai, Ba Đình, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135ab7150cba8dd:0xf79e8db2762e7011!8m2!3d21.0269618!4d105.8222715!16s%2Fg%2F11jnnblzlq!19sChIJ3ajLUHGrNTEREXAudrKNnvc?authuser=0&hl=en&rclk=1,Supermarket,4.4,8,,024 7106 6866,"WinMart+, 109 P. Trần Huy Liệu, tổ dân phố 7A, Ba Đình, Hà Nội 11110"
All mart - siêu thị mini hàng ngoại nhập,https://www.google.com/maps/place/All+mart+-+si%C3%AAu+th%E1%BB%8B+mini+h%C3%A0ng+ngo%E1%BA%A1i+nh%E1%BA%ADp/data=!4m7!3m6!1s0x3135ab99419faa7f:0x3e85625a72332bc4!8m2!3d21.0376874!4d105.8141057!16s%2Fg%2F11f7r1tmnz!19sChIJf6qfQZmrNTERxCszclpihT4?authuser=0&hl=en&rclk=1,Supermarket,5,1,https://www.facebook.com/S-all-Mart-2061657707487889/?modal=admin_todo_tour,0946 936 366,"All mart - siêu thị mini hàng ngoại nhập, 375 P. Đội Cấn, Liễu Giai, Ba Đình, Hà Nội"
"ETmart.net - Siêu thi trực tuyến tiện nghi, tin cậy","https://www.google.com/maps/place/ETmart.net+-+Si%C3%AAu+thi+tr%E1%BB%B1c+tuy%E1%BA%BFn+ti%E1%BB%87n+nghi,+tin+c%E1%BA%ADy/data=!4m7!3m6!1s0x3135ab83c3de1013:0xa4ca798841ebc349!8m2!3d21.0163319!4d105.8328563!16s%2Fg%2F11g8vpr0_m!19sChIJExDew4OrNTERScPrQYh5yqQ?authuser=0&hl=en&rclk=1",Supermarket,,,,024 6688 5051,"ETmart.net - Siêu thi trực tuyến tiện nghi, tin cậy, 208 Đ. Đê La Thành, Nam Đồng, Đống Đa, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135ab6e6231927d:0x89769381072d78df!8m2!3d21.0271567!4d105.8145455!16s%2Fg%2F11jnndm2k1!19sChIJfZIxYm6rNTER33gtB4GTdok?authuser=0&hl=en&rclk=1,Supermarket,4.7,14,https://winmart.vn/,024 7106 6866,"WinMart+, 29A phố P. Nguyễn Công Hoan, Giảng Võ, Ba Đình, Hà Nội 11109"
WinMart Đội cấn,https://www.google.com/maps/place/WinMart+%C4%90%E1%BB%99i+c%E1%BA%A5n/data=!4m7!3m6!1s0x3135abe3b0de5141:0x8955c925911144c6!8m2!3d21.0361328!4d105.819519!16s%2Fg%2F11t46p6xhv!19sChIJQVHesOOrNTERxkQRkSXJVYk?authuser=0&hl=en&rclk=1,Supermarket,4.2,28,,,"WinMart Đội cấn, 281 P. Đội Cấn, Liễu Giai, Ba Đình, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135ab74f8045c7f:0x4bb02ccdfa23a462!8m2!3d21.0303635!4d105.8245742!16s%2Fg%2F11c7sr7vyz!19sChIJf1wE-HSrNTERYqQj-s0ssEs?authuser=0&hl=en&rclk=1,Supermarket,4.1,46,http://winmart.vn/,024 7106 6866,"WinMart+, 93 Ngõ Núi Trúc, phố P. Giang Văn Minh, Kim Mã, Ba Đình, Hà Nội 11112"
Lamason Store 10K,https://www.google.com/maps/place/Lamason+Store+10K/data=!4m7!3m6!1s0x3135ab174b44885d:0xa1d8a5addc6c3d4e!8m2!3d21.0350716!4d105.8211661!16s%2Fg%2F11j59zlyh6!19sChIJXYhESxerNTERTj1s3K2l2KE?authuser=0&hl=en&rclk=1,Supermarket,4.2,27,,0866 386 222,"Lamason Store 10K, 206 P. Đội Cấn, Đội Cấn, Ba Đình, Hà Nội 100000"
