title,link,main_category,rating,reviews,website,phone,address
Siêu thị T-Mart Cầu Diễn,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+T-Mart+C%E1%BA%A7u+Di%E1%BB%85n/data=!4m7!3m6!1s0x313454ea7f175cf5:0x20a73b7869b59e36!8m2!3d21.0424917!4d105.75837!16s%2Fg%2F11hb64hqvz!19sChIJ9VwXf-pUNDERNp61aXg7pyA?authuser=0&hl=en&rclk=1,Hypermarket,4,461,,0789 388 989,"Siêu thị T-Mart Cầu Diễn, 39 Phúc Diễn, Bắc Từ Liêm, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3134552de23b4e15:0xbf1039ec5e1756ae!8m2!3d21.071544!4d105.776347!16s%2Fg%2F11f7bj9hht!19sChIJFU474i1VNDERrlYXXuw5EL8?authuser=0&hl=en&rclk=1,Supermarket,3.4,9,,024 7106 6866,"WinMart+, Số 6 P. Viên, phường, Bắc Từ Liêm, Hà Nội 11907"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x313454d546d157eb:0x9c7086266513412d!8m2!3d21.0591968!4d105.7809478!16s%2Fg%2F11jnnfvffm!19sChIJ61fRRtVUNDERLUETZSaGcJw?authuser=0&hl=en&rclk=1,Supermarket,4.4,20,http://winmart.vn/,024 7106 6866,"WinMart+, 56 Ng. 43 Đ. Cổ Nhuế, Phường, Bắc Từ Liêm, Hà Nội 11907"
Siêu Thị Nhập Khẩu JJ Mart,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Nh%E1%BA%ADp+Kh%E1%BA%A9u+JJ+Mart/data=!4m7!3m6!1s0x3135ab8d6e661427:0x4ec7cb95edf285be!8m2!3d21.072948!4d105.8020788!16s%2Fg%2F11jdjwzvy7!19sChIJJxRmbo2rNTERvoXy7ZXLx04?authuser=0&hl=en&rclk=1,Supermarket,4.1,14,,024 3558 8383,"Siêu Thị Nhập Khẩu JJ Mart, 281 Đ. Nguyễn Hoàng Tôn, P, Bắc Từ Liêm, Hà Nội 100000"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135ab5c66f89c25:0x1df8e5344b6b3796!8m2!3d21.05693!4d105.784!16s%2Fg%2F11gk8wnt70!19sChIJJZz4ZlyrNTERljdrSzTl-B0?authuser=0&hl=en&rclk=1,Supermarket,4.3,46,,024 7106 6866,"WinMart+, 313 Đ. Trần Cung, Cổ Nhuế, Bắc Từ Liêm, Hà Nội 11917"
VinMart+,https://www.google.com/maps/place/VinMart%2B/data=!4m7!3m6!1s0x313454c0fd6f2043:0x6d4bbe2ffd0ac1a5!8m2!3d21.041888!4d105.762184!16s%2Fg%2F11f5v0s3hy!19sChIJQyBv_cBUNDERpcEK_S--S20?authuser=0&hl=en&rclk=1,Supermarket,4.4,34,,024 7106 6866,"VinMart+, 8 Đ. Hoàng Công Chất, Cầu Diễn, Bắc Từ Liêm, Hà Nội 11916"
Cửa Hàng Tiện Ích Smart,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+Ti%E1%BB%87n+%C3%8Dch+Smart/data=!4m7!3m6!1s0x3135aac3a16ff85d:0x9583de011dc77335!8m2!3d21.0731408!4d105.8013253!16s%2Fg%2F11g6rkm_jd!19sChIJXfhvocOqNTERNXPHHQHeg5U?authuser=0&hl=en&rclk=1,Department store,,,,024 3750 1777,"Cửa Hàng Tiện Ích Smart, 311 Đ. Nguyễn Hoàng Tôn, Xuân Đỉnh, Từ Liêm, Hà Nội"
Siêu thị T'Mart Nam Cường,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+T%27Mart+Nam+C%C6%B0%E1%BB%9Dng/data=!4m7!3m6!1s0x3135abeb39207bc5:0x39b0213b476183f6!8m2!3d21.0505447!4d105.7847!16s%2Fg%2F11gl225bgz!19sChIJxXsgOeurNTER9oNhRzshsDk?authuser=0&hl=en&rclk=1,Supermarket,4,4,,1900 6446,"3Q2M+6V8 Siêu thị T'Mart Nam Cường, Khu đô thị Cổ Nhuế, Từ Liêm, Hà Nội"
Siêu thị KMART+,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+KMART%2B/data=!4m7!3m6!1s0x313455917fd1eadf:0x3ab1b4b98dcf9375!8m2!3d21.0417588!4d105.7602987!16s%2Fg%2F11k9nzlf43!19sChIJ3-rRf5FVNDERdZPPjbm0sTo?authuser=0&hl=en&rclk=1,Grocery store,,,,0985 109 219,"Siêu thị KMART+, 29/91 Đ. Cầu Diễn, Cầu Diễn, Bắc Từ Liêm, Hà Nội"
Hệ Thống Siêu Thị Qmart Xuân Đỉnh,https://www.google.com/maps/place/H%E1%BB%87+Th%E1%BB%91ng+Si%C3%AAu+Th%E1%BB%8B+Qmart+Xu%C3%A2n+%C4%90%E1%BB%89nh/data=!4m7!3m6!1s0x3135aacffb314449:0xd01a1594178e76b4!8m2!3d21.0712702!4d105.7930596!16s%2Fg%2F11mn1nf5z4!19sChIJSUQx-8-qNTERtHaOF5QVGtA?authuser=0&hl=en&rclk=1,Department store,,,,,"3QCV+G63 Hệ Thống Siêu Thị Qmart Xuân Đỉnh, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội"
"Khu văn phòng nhà ở và Liền kề phú diễn, Phú Diễn Land","https://www.google.com/maps/place/Khu+v%C4%83n+ph%C3%B2ng+nh%C3%A0+%E1%BB%9F+v%C3%A0+Li%E1%BB%81n+k%E1%BB%81+ph%C3%BA+di%E1%BB%85n,+Ph%C3%BA+Di%E1%BB%85n+Land/data=!4m7!3m6!1s0x313455e38070cb7d:0x928d2d7ebcee4043!8m2!3d21.0577686!4d105.7639891!16s%2Fg%2F11j5gblfv2!19sChIJfctwgONVNDERQ0DuvH4tjZI?authuser=0&hl=en&rclk=1",Supermarket,,,,,"3Q57+4H5 Khu văn phòng nhà ở và Liền kề phú diễn, Phú Diễn Land, Ngõ 291 Đường Phú Diễn, Phú Diễn, Bắc Từ Liêm, Hà Nội"
Đồng Xanh Food Mart,https://www.google.com/maps/place/%C4%90%E1%BB%93ng+Xanh+Food+Mart/data=!4m7!3m6!1s0x3135ab2d08ef747d:0x1c829f9793e5b4d6!8m2!3d21.0506646!4d105.7847081!16s%2Fg%2F11c4bcwr_x!19sChIJfXTvCC2rNTER1rTlk5efghw?authuser=0&hl=en&rclk=1,Supermarket,4.1,46,,,"3Q2M+7V8 Đồng Xanh Food Mart, Cổ Nhuế, Từ Liêm, Hà Nội 10000"
MAIANH MART EPIC,https://www.google.com/maps/place/MAIANH+MART+EPIC/data=!4m7!3m6!1s0x3134558efc10f39d:0xa6609650f2aa9b29!8m2!3d21.0557145!4d105.777258!16s%2Fg%2F11lgxw0dcp!19sChIJnfMQ_I5VNDERKZuq8lCWYKY?authuser=0&hl=en&rclk=1,Supermarket,3,2,,,"MAIANH MART EPIC, Lo 4, Epic Home, Khu đô thị Thành phố Giao lưu, Bắc Từ Liêm, Hà Nội"
Vincom Plaza Bac Tu Liem,https://www.google.com/maps/place/Vincom+Plaza+Bac+Tu+Liem/data=!4m7!3m6!1s0x31345593b3245b6d:0xae56b6a7812d36d1!8m2!3d21.0526936!4d105.7807082!16s%2Fg%2F11fjzwc9c8!19sChIJbVsks5NVNDER0TYtgae2Vq4?authuser=0&hl=en&rclk=1,Shopping mall,4.5,772,https://vincom.com.vn/vincom-plaza-bac-tu-liem,0866 857 584,"Vincom Plaza Bac Tu Liem, 234 Phạm Văn Đồng, Cổ Nhuế, Bắc Từ Liêm, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135aacaf86f043b:0xae8772a5caa5c58c!8m2!3d21.0809724!4d105.7848785!16s%2Fg%2F11g22zv7jr!19sChIJOwRv-MqqNTERjMWlyqVyh64?authuser=0&hl=en&rclk=1,Supermarket,4.3,36,http://winmart.vn/,024 7106 6866,"WinMart+, 107 Đ. Tân Xuân, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội 11908"
Siêu Thị Chăn Ga Nhập Khẩu,https://www.google.com/maps/place/Si%C3%AAu+Thi%CC%A3+Ch%C4%83n+Ga+Nh%C3%A2%CC%A3p+Kh%C3%A2%CC%89u/data=!4m7!3m6!1s0x3135ab524de55321:0x7280963ba3ba1948!8m2!3d21.0602315!4d105.7832456!16s%2Fg%2F11f6h4lc66!19sChIJIVPlTVKrNTERSBm6ozuWgHI?authuser=0&hl=en&rclk=1,Discount supermarket,,,http://chanlongcuu.biz/,0984 059 789,"Siêu Thị Chăn Ga Nhập Khẩu, 286 Phạm Văn Đồng, Cổ Nhuế, Bắc Từ Liêm, Hà Nội 100000"
Siêu thị Winmart,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+Winmart/data=!4m7!3m6!1s0x313455bffa76a863:0x15b99a284c78f30f!8m2!3d21.0490295!4d105.7488387!16s%2Fg%2F11sw2t0kt4!19sChIJY6h2-r9VNDERD_N4TCiauRU?authuser=0&hl=en&rclk=1,Supermarket,,,,,"Siêu thị Winmart, 35 Đ. Văn Tiến Dũng, Phúc Diễn, Từ Liêm, Hà Nội"
Siêu thị Tây Tựu,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+T%C3%A2y+T%E1%BB%B1u/data=!4m7!3m6!1s0x313455a41355ff89:0xa50d0701156dc855!8m2!3d21.0692006!4d105.7312124!16s%2Fg%2F11h8grf43r!19sChIJif9VE6RVNDERVchtFQEHDaU?authuser=0&hl=en&rclk=1,Supermarket,4.2,6,https://www.lazada.vn/shop/ku-bill-candy-house/,0987 564 187,"Siêu thị Tây Tựu, 69 Phố Đăm, Tây Tựu, Bắc Từ Liêm, Hà Nội"
Hada Mart,https://www.google.com/maps/place/Hada+Mart/data=!4m7!3m6!1s0x3135ab4672aef0c7:0xbadb529c0a910edd!8m2!3d21.0846468!4d105.7834413!16s%2Fg%2F11rrhhgybt!19sChIJx_CuckarNTER3Q6RCpxS27o?authuser=0&hl=en&rclk=1,Supermarket,5,11,https://hadamart.com/,0972 545 423,"Hada Mart, Tòa NO3, Ecohome 3, Bắc Từ Liêm, Hà Nội 100000"
Siêu Thị Citi Mart Nông Lâm,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Citi+Mart+N%C3%B4ng+L%C3%A2m/data=!4m7!3m6!1s0x313455323b89de9d:0x9a82445e17a29f4f!8m2!3d21.0741828!4d105.7771897!16s%2Fg%2F1jkwh29rh!19sChIJnd6JOzJVNDERT5-iF15Egpo?authuser=0&hl=en&rclk=1,Grocery store,3,1,,024 3838 8636,"3QFG+MVG Siêu Thị Citi Mart Nông Lâm, Đ. Cổ Nhuế, Đông Ngạc, Từ Liêm, Hà Nội"
Siêu Thị NT MARTEX,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+NT+MARTEX/data=!4m7!3m6!1s0x3135abf0b6b2db87:0x7a53311601d84d27!8m2!3d21.0580207!4d105.7831878!16s%2Fg%2F11sjhj204l!19sChIJh9uytvCrNTERJ03YARYxU3o?authuser=0&hl=en&rclk=1,Supermarket,,,,,"Siêu Thị NT MARTEX, 519 Phạm Văn Đồng, Cổ Nhuế, Từ Liêm, Hà Nội"
Siêu Thị Điện Máy ECO,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+%C4%90i%E1%BB%87n+M%C3%A1y+ECO/data=!4m7!3m6!1s0x3135ab3fedd969f9:0xd6e89c8e9364c765!8m2!3d21.0882167!4d105.7832172!16s%2Fg%2F11r5w7xyq4!19sChIJ-WnZ7T-rNTERZcdkk46c6NY?authuser=0&hl=en&rclk=1,Supermarket,,,,0969 040 737,"Siêu Thị Điện Máy ECO, Chung cư Ecohome, 1 Kẻ Vẽ, Đông Ngạc, Bắc Từ Liêm, Hà Nội 100000"
UNO Mart,https://www.google.com/maps/place/UNO+Mart/data=!4m7!3m6!1s0x3135abbd1e824757:0x871134f75fea8811!8m2!3d21.0842088!4d105.7843893!16s%2Fg%2F11n724kl9v!19sChIJV0eCHr2rNTEREYjqX_c0EYc?authuser=0&hl=en&rclk=1,Supermarket,3.2,13,https://www.facebook.com/sieuthiunomart,0922 566 566,"UNO Mart, Toà N04 - Ecohome 3, Bắc Từ Liêm, Hà Nội"
TERRA MART,https://www.google.com/maps/place/TERRA+MART/data=!4m7!3m6!1s0x3134556e7274c235:0x98465bfd86374dd3!8m2!3d21.0505272!4d105.7794019!16s%2Fg%2F11v6c8bzz8!19sChIJNcJ0cm5VNDER0003hv1bRpg?authuser=0&hl=en&rclk=1,Supermarket,5,1,,0889 953 255,"TERRA MART, 232 Phạm Văn Đồng, Cổ Nhuế, Bắc Từ Liêm, Hà Nội"
TMart ECOHOME,https://www.google.com/maps/place/TMart+ECOHOME/data=!4m7!3m6!1s0x3135abd99681620f:0x295846b958d86f69!8m2!3d21.0825066!4d105.7850136!16s%2Fg%2F11g2yyl363!19sChIJD2KBltmrNTERaW_YWLlGWCk?authuser=0&hl=en&rclk=1,Supermarket,3.8,23,,1900 6446,"3QMP+222 TMart ECOHOME, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội"
Eco Mart,https://www.google.com/maps/place/Eco+Mart/data=!4m7!3m6!1s0x3135ab8aa77fb613:0xf86779abdd0ed056!8m2!3d21.0515839!4d105.7859431!16s%2Fg%2F11l4lq8sk1!19sChIJE7Z_p4qrNTERVtAO3at5Z_g?authuser=0&hl=en&rclk=1,Supermarket,3.9,14,,024 6292 6807,"Eco Mart, CT3D - Cổ Nhuế, Tầng 1, Ngõ 234 Hoàng Quốc Việt, khu đô thị Nam Cường, Bắc Từ Liêm, Hà Nội 100000"
