title,link,main_category,rating,reviews,website,phone,address
LOTTE Mart Cau Giay,https://www.google.com/maps/place/LOTTE+Mart+Cau+Giay/data=!4m7!3m6!1s0x3135ab64a56b1111:0x5e4784d266bc205d!8m2!3d21.0355429!4d105.7940529!16s%2Fg%2F11h37qdgl7!19sChIJERFrpWSrNTERXSC8ZtKER14?authuser=0&hl=en&rclk=1,Supermarket,4.3,802,http://lottemart.com.vn/,0901 057 057,"LOTTE Mart Cau Giay, Tầng B1, 1F Discovery Complex, 302 Đ. Cầu Giấy, Dịch Vọng, Cầu Giấy, Hà Nội 100000"
Siêu thị Pol Mart,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+Pol+Mart/data=!4m7!3m6!1s0x3135abb5778107e7:0xc7e1fa30f1975a4e!8m2!3d21.0295572!4d105.7950069!16s%2Fg%2F11txnx6cng!19sChIJ5weBd7WrNTERTlqX8TD64cc?authuser=0&hl=en&rclk=1,Supermarket,5,1,,,"Siêu thị Pol Mart, N07B2 Dịch Vọng, Dịch Vọng, Cầu Giấy, Hà Nội"
WinMart,https://www.google.com/maps/place/WinMart/data=!4m7!3m6!1s0x3135ab379f29fcd7:0x7cf5de8102535e21!8m2!3d21.0380993!4d105.7939839!16s%2Fg%2F12qgp0dr_!19sChIJ1_wpnzerNTERIV5TAoHe9Xw?authuser=0&hl=en&rclk=1,Supermarket,4.2,2430,http://winmart.vn/,024 7106 6866,"WinMart, Tổ hợp nhà đa năng, ở 28 tầng, Trần Đăng Ninh, Làng Quốc tế Thăng Long, Cầu Giấy, Hà Nội"
Hệ Thống Siêu Thị Qmart,https://www.google.com/maps/place/H%E1%BB%87+Th%E1%BB%91ng+Si%C3%AAu+Th%E1%BB%8B+Qmart/data=!4m7!3m6!1s0x3135ab2b99d22967:0x871670928bbd745f!8m2!3d21.0554651!4d105.7856517!16s%2Fg%2F11mn37222p!19sChIJZynSmSurNTERX3S9i5JwFoc?authuser=0&hl=en&rclk=1,Department store,5,1,,,"3Q4P+57J Hệ Thống Siêu Thị Qmart, Đ. Trần Cung, Cổ Nhuế, Cầu Giấy, Hà Nội"
Siêu thị SAKURA Cầu Giấy - Hàng Nhật Nội Địa | Sakura Store,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+SAKURA+C%E1%BA%A7u+Gi%E1%BA%A5y+-+H%C3%A0ng+Nh%E1%BA%ADt+N%E1%BB%99i+%C4%90%E1%BB%8Ba+%7C+Sakura+Store/data=!4m7!3m6!1s0x3135ab850fc2e749:0xb067fb3ce80bcfd6!8m2!3d21.0414942!4d105.7875219!16s%2Fg%2F11j37x33wx!19sChIJSefCD4WrNTER1s8L6Dz7Z7A?authuser=0&hl=en&rclk=1,Supermarket,4.8,28,http://www.sakurastore.vn/,0965 725 872,"Siêu thị SAKURA Cầu Giấy - Hàng Nhật Nội Địa | Sakura Store, 41 P. Trần Quốc Hoàn, Dịch Vọng Hậu, Cầu Giấy, Hà Nội 10000"
Media Mart Cầu Giấy,https://www.google.com/maps/place/Media+Mart+C%E1%BA%A7u+Gi%E1%BA%A5y/data=!4m7!3m6!1s0x3135ab483b30b0fb:0xb571c42c8c3f1b79!8m2!3d21.0353551!4d105.7919585!16s%2Fg%2F11f126_lx9!19sChIJ-7AwO0irNTEReRs_jCzEcbU?authuser=0&hl=en&rclk=1,Electronics store,3.6,312,http://mediamart.vn/,0936 072 239,"Media Mart Cầu Giấy, 335 Đ. Cầu Giấy, Dịch Vọng, Cầu Giấy, Hà Nội"
Siêu Thi Thực Phẩm Mipec,https://www.google.com/maps/place/Si%C3%AAu+Thi+Th%E1%BB%B1c+Ph%E1%BA%A9m+Mipec/data=!4m7!3m6!1s0x3135ab067338589f:0xaee609298cd3ad53!8m2!3d21.03722!4d105.7869508!16s%2Fg%2F11sryh6__n!19sChIJn1g4cwarNTERU63TjCkJ5q4?authuser=0&hl=en&rclk=1,Supermarket,,,https://sieu-thi-thuc-pham-mipec.business.site/?utm_source=gmb&utm_medium=referral,,"Siêu Thi Thực Phẩm Mipec, 122 Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội 100000"
Siêu Thị Mũ,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+M%C5%A9/data=!4m7!3m6!1s0x3135ab3b17cce8e3:0xac8457aa7e93c672!8m2!3d21.0457627!4d105.7982745!16s%2Fg%2F11h5vtrdkc!19sChIJ4-jMFzurNTERcsaTfqpXhKw?authuser=0&hl=en&rclk=1,Store,,,,,"2QWX+882 Siêu Thị Mũ, Đ. Nguyễn Văn Huyên, Nghĩa Đô, Cầu Giấy, Hà Nội"
Siêu Thị Quang Nhân,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Quang+Nh%C3%A2n/data=!4m7!3m6!1s0x3135ab36e16e9617:0xbaead00b866f3eb1!8m2!3d21.0403733!4d105.7907827!16s%2Fg%2F1v27rz7l!19sChIJF5Zu4TarNTERsT5vhgvQ6ro?authuser=0&hl=en&rclk=1,Grocery store,,,,024 3971 0217,"Siêu Thị Quang Nhân, 243 Trần Đăng Ninh, Làng Quốc tế Thăng Long, Cầu Giấy, Hà Nội"
AEON The Nine Supermarket,https://www.google.com/maps/place/AEON+The+Nine+Supermarket/data=!4m7!3m6!1s0x313455c01560825d:0x780187a65fe3285f!8m2!3d21.0403908!4d105.780267!16s%2Fg%2F11sxzpldvt!19sChIJXYJgFcBVNDERXyjjX6aHAXg?authuser=0&hl=en&rclk=1,Supermarket,4,245,https://aeon-mall-the-nine-tower.business.site/,,"AEON The Nine Supermarket, 9 Phạm Văn Đồng, Mai Dịch, Cầu Giấy, Hà Nội 10000"
