title,link,main_category,rating,reviews,website,phone,address
Supermarket HaproMart Trau Quy,https://www.google.com/maps/place/Supermarket+HaproMart+Trau+Quy/data=!4m7!3m6!1s0x3135a8c26257ec71:0x890aa9f36f11dae3!8m2!3d21.0203972!4d105.9377047!16s%2Fg%2F1hc3x89cz!19sChIJcexXYsKoNTER49oRb_OpCok?authuser=0&hl=en&rclk=1,Supermarket,3.9,662,,024 3876 5352,"Supermarket HaproMart Trau Quy, 2 Ngô Xuân Quảng, Trâu Quỳ, Gia Lâm, Hà Nội"
Siêu Thị UTi Mart Trâu Quỳ,https://www.google.com/maps/place/Si%C3%AAu+Thi%CC%A3+UTi+Mart+Tr%C3%A2u+Qu%E1%BB%B3/data=!4m7!3m6!1s0x3135a94bf1dd96df:0xadc440ed4e1c8a5b!8m2!3d21.0051594!4d105.9380587!16s%2Fg%2F11g0ht8chf!19sChIJ35bd8UupNTERW4ocTu1AxK0?authuser=0&hl=en&rclk=1,Supermarket,4.8,20,https://sieuthisuckhoehanquoc.com/,0848 988 585,"Siêu Thị UTi Mart Trâu Quỳ, 211 Đ. Trâu Quỳ, Trâu Quỳ, Gia Lâm, Hà Nội"
SIÊU THỊ L-MART II,https://www.google.com/maps/place/SI%C3%8AU+TH%E1%BB%8A+L-MART+II/data=!4m7!3m6!1s0x3135a8bdaa18679d:0xc84917179a4762af!8m2!3d21.0180728!4d105.9552134!16s%2Fg%2F11f106cwq_!19sChIJnWcYqr2oNTERr2JHmhcXScg?authuser=0&hl=en&rclk=1,Supermarket,4,56,,024 3269 6012,"SIÊU THỊ L-MART II, Tòa nhà D8, Đặng Xá, Gia Lâm, Hà Nội"
Siêu Thị Mini Thái Hà,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Mini+Th%C3%A1i+H%C3%A0/data=!4m7!3m6!1s0x3135a9bfa200632b:0x8763881442963599!8m2!3d21.0104331!4d105.9349098!16s%2Fg%2F11gv14qzbv!19sChIJK2MAor-pNTERmTWWQhSIY4c?authuser=0&hl=en&rclk=1,Shopping mall,5,1,,0363 190 969,"2W6M+5XF Siêu Thị Mini Thái Hà, Cửu Việt, Gia Lâm, Hà Nội"
Siêu Thị Green Mart,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Green+Mart/data=!4m7!3m6!1s0x3135a8c2589967bd:0xe727111da6ac4045!8m2!3d21.0203651!4d105.9376859!16s%2Fg%2F11h7s4kr7g!19sChIJvWeZWMKoNTERRUCsph0RJ-c?authuser=0&hl=en&rclk=1,Grocery store,,,,,"Siêu Thị Green Mart, 2 Ngô Xuân Quảng, Trâu Quỳ, Gia Lâm, Hà Nội 100000"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135a8c55ad05219:0x8e6835287e030a18!8m2!3d21.0113117!4d105.9357074!16s%2Fg%2F11hf866m63!19sChIJGVLQWsWoNTERGAoDfig1aI4?authuser=0&hl=en&rclk=1,Supermarket,3.8,30,http://vinmart.com/,024 7106 6866,"WinMart+, Số 391 Ngô Xuân Quảng, Trâu Quỳ, Gia Lâm, Hà Nội 12406"
Siêu thị mini TÂM MAI,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+mini+T%C3%82M+MAI/data=!4m7!3m6!1s0x3135a90eeabc2c39:0xbfc61ab7d3da1b46!8m2!3d21.0087193!4d105.9376312!16s%2Fg%2F11sh69t_lw!19sChIJOSy86g6pNTERRhva07caxr8?authuser=0&hl=en&rclk=1,Convenience store,,,,0338 899 633,"Siêu thị mini TÂM MAI, 82 Cửu Việt 2, Trâu Quỳ, Gia Lâm, Hà Nội"
Siêu Thị S'mart,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+S%27mart/data=!4m7!3m6!1s0x3135a9d4ecc13ab1:0xe69f4200e68d7bd5!8m2!3d21.0891586!4d105.9210482!16s%2Fg%2F11gcsdyq9j!19sChIJsTrB7NSpNTER1XuN5gBCn-Y?authuser=0&hl=en&rclk=1,Shopping mall,,,,0964 392 627,"Siêu Thị S'mart, 452 Đ. Hà Huy Tập, Yên Viên, Gia Lâm, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x31350781cfffffff:0xa4d31b508c76fe8b!8m2!3d21.0980386!4d105.921361!16s%2Fg%2F11j9l8v7hn!19sChIJ____z4EHNTERi_52jFAb06Q?authuser=0&hl=en&rclk=1,Supermarket,4.2,12,http://winmart.vn/,024 7106 6866,"3WXC+6G9 WinMart+, Thôn Lã Côi, Gia Lâm, Hà Nội 12416"
WinMart+ 254 Cổ Bi,https://www.google.com/maps/place/WinMart%2B+254+C%E1%BB%95+Bi/data=!4m7!3m6!1s0x3135a8edbbfec0db:0xc3ab492dd069522b!8m2!3d21.0315642!4d105.9425771!16s%2Fg%2F11jcfl8r8d!19sChIJ28D-u-2oNTERK1Jp0C1Jq8M?authuser=0&hl=en&rclk=1,Supermarket,4,16,,024 7106 6866,"WinMart+ 254 Cổ Bi, 254 Cổ Bi, Gia Lâm, Hà Nội 12421"
