title,link,main_category,rating,reviews,website,phone,address
QMART HÀ ĐÔNG,https://www.google.com/maps/place/QMART+H%C3%80+%C4%90%C3%94NG/data=!4m7!3m6!1s0x3135ad542d3379e5:0x8f8dd6e774c321e5!8m2!3d20.9605681!4d105.800571!16s%2Fg%2F11fhtwc7_m!19sChIJ5XkzLVStNTER5SHDdOfWjY8?authuser=0&hl=en&rclk=1,Supermarket,4.1,202,,0963 033 021,"QMART HÀ ĐÔNG, Tầng 1 CT6 XA LA, 339 đường, 70B Đ. Cầu Bươu, Tân Triều, Hà Đông, Hà Nội"
Tops Market Hà Đông,https://www.google.com/maps/place/Tops+Market+H%C3%A0+%C4%90%C3%B4ng/data=!4m7!3m6!1s0x3135adfc25f7d417:0x1c8ecb2fd27eedc6!8m2!3d20.9790028!4d105.7856875!16s%2Fg%2F11jb3_m6zv!19sChIJF9T3JfytNTERxu1-0i_Ljhw?authuser=0&hl=en&rclk=1,Supermarket,4.2,1597,http://topsmarket.vn/,024 3352 5888,"Tops Market Hà Đông, 102 Trần Phú, P. Mộ Lao, Hà Đông, Hà Nội 12110"
WinMart,https://www.google.com/maps/place/WinMart/data=!4m7!3m6!1s0x3135acdaa99e1c87:0xdb6f8b06effd2b24!8m2!3d20.9743358!4d105.7892777!16s%2Fg%2F11bv38cmdr!19sChIJhxyeqdqsNTERJCv97waLb9s?authuser=0&hl=en&rclk=1,Supermarket,4.2,1275,http://winmart.vn/,024 7106 6866,"WinMart, Tầng 1 nhà CT7A, khu đô thị mới, Văn Quán, Yên Phúc, Hà Đông, Hà Nội"
Đại Siêu Thị Aeon Mall Hà Đông,https://www.google.com/maps/place/%C4%90%E1%BA%A1i+Si%C3%AAu+Th%E1%BB%8B+Aeon+Mall+H%C3%A0+%C4%90%C3%B4ng/data=!4m7!3m6!1s0x31345350f7e7b659:0x3558ec41596354f2!8m2!3d20.9899497!4d105.7505901!16s%2Fg%2F11vcmtv852!19sChIJWbbn91BTNDER8lRjWUHsWDU?authuser=0&hl=en&rclk=1,Hypermarket,5,2,,,"XQQ2+X6 Đại Siêu Thị Aeon Mall Hà Đông, Dương Nội, Hà Đông, Hà Nội"
Siêu Thị Co.opmart Hà Nội,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Co.opmart+H%C3%A0+N%E1%BB%99i/data=!4m7!3m6!1s0x3135adf4b4bc1297:0xaf93994d1f82ce32!8m2!3d20.9827185!4d105.7904626!16s%2Fg%2F11txv84rk6!19sChIJlxK8tPStNTERMs6CH02Zk68?authuser=0&hl=en&rclk=1,Supermarket,4.6,143,,024 6285 3939,"Siêu Thị Co.opmart Hà Nội, 10 Đ. Nguyễn Trãi, Khu đô thị Bắc Hà, Hà Đông, Hà Nội"
Vtq_Mart,https://www.google.com/maps/place/Vtq_Mart/data=!4m7!3m6!1s0x313453215b45e549:0xd419f9f2aea1e77c!8m2!3d20.974454!4d105.7634254!16s%2Fg%2F11h8l4ycfd!19sChIJSeVFWyFTNDERfOehrvL5GdQ?authuser=0&hl=en&rclk=1,Store,,,,,"XQF7+Q9M Vtq_Mart, Khu đô thị Văn Khê, Hà Đông, Hà Nội"
K-mart Ha Dong,https://www.google.com/maps/place/K-mart+Ha+Dong/data=!4m7!3m6!1s0x313452d698496605:0x7ae02886644596fe!8m2!3d20.9637439!4d105.775761!16s%2Fg%2F11c32n0k0d!19sChIJBWZJmNZSNDER_pZFZIYo4Ho?authuser=0&hl=en&rclk=1,Supermarket,4.4,34,,024 3352 3718,"K-mart Ha Dong, Hà Cầu, Hà Đông, Hà Nội"
CO.OPMART SCA VICTORIA Supermarket,https://www.google.com/maps/place/CO.OPMART+SCA+VICTORIA+Supermarket/data=!4m7!3m6!1s0x3134533a8e1f13c9:0x17b6c34738e89b92!8m2!3d20.9591916!4d105.7679905!16s%2Fg%2F11fnsbrh0j!19sChIJyRMfjjpTNDERkpvoOEfDthc?authuser=0&hl=en&rclk=1,Supermarket,4.4,72,http://www.co-opmart.com.vn/,,"CO.OPMART SCA VICTORIA Supermarket, Khu đô thị Văn Phú, Hà Đông, Hà Nội"
Duc Thanh Supermarket,https://www.google.com/maps/place/Duc+Thanh+Supermarket/data=!4m7!3m6!1s0x31345321d4b8a4d9:0x9b693faf4657d56b!8m2!3d20.9725549!4d105.758676!16s%2Fg%2F11cjqwv797!19sChIJ2aS41CFTNDERa9VXRq8_aZs?authuser=0&hl=en&rclk=1,Supermarket,4,462,,024 6259 7606,"Duc Thanh Supermarket, The Pride, P. Tố Hữu, La Khê, Hà Đông, Hà Nội"
Co.opmart SCA Goldsilk,https://www.google.com/maps/place/Co.opmart+SCA+Goldsilk/data=!4m7!3m6!1s0x3134536a022d4431:0x631805a3d6693500!8m2!3d20.9768063!4d105.7755109!16s%2Fg%2F11j000b41t!19sChIJMUQtAmpTNDERADVp1qMFGGM?authuser=0&hl=en&rclk=1,Supermarket,4.5,82,http://co-opmart.com.vn/,0911 807 875,"Co.opmart SCA Goldsilk, Số 430 P. Cầu Am, P, Hà Đông, Hà Nội"
