title,link,main_category,rating,reviews,website,phone,address
WinMart,https://www.google.com/maps/place/WinMart/data=!4m7!3m6!1s0x3135ac1b54c55ab5:0xa56e87ad85e5abaf!8m2!3d20.9940169!4d105.8696715!16s%2Fg%2F1pzwcxks6!19sChIJtVrFVBusNTERr6vlha2HbqU?authuser=0&hl=en&rclk=1,Supermarket,4.3,986,https://winmart.vn/,024 7300 0777,"WinMart, 458 P. Minh Khai, Khu đô thị Times City, Hai Bà Trưng, Hà Nội 100000"
V + Hypermarket,https://www.google.com/maps/place/V+%2B+Hypermarket/data=!4m7!3m6!1s0x3135ac03ff7a9f93:0x32d813ced6251320!8m2!3d20.9996788!4d105.8704765!16s%2Fg%2F11fxb8qlv6!19sChIJk596_wOsNTERIBMl1s4T2DI?authuser=0&hl=en&rclk=1,Supermarket,4.1,108,,,"V + Hypermarket, 505 P. Minh Khai, Vĩnh Phú, Hai Bà Trưng, Hà Nội 100000"
Siêu thị Thành Đô,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+Th%C3%A0nh+%C4%90%C3%B4/data=!4m7!3m6!1s0x3135ad94f0e65561:0xededd9e4a0098009!8m2!3d21.0028772!4d105.8653841!16s%2Fg%2F11hym3cq2q!19sChIJYVXm8JStNTERCYAJoOTZ7e0?authuser=0&hl=en&rclk=1,Supermarket,4,314,,,"Siêu thị Thành Đô, 27 P. Lạc Trung, Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
Aeon Citimart,https://www.google.com/maps/place/Aeon+Citimart/data=!4m7!3m6!1s0x3135ab5dbf9e9175:0xfafda01ff2415eb8!8m2!3d21.0253108!4d105.8458978!16s%2Fg%2F11hdjf7zxv!19sChIJdZGev12rNTERuF5B8h-g_fo?authuser=0&hl=en&rclk=1,Supermarket,3.7,44,http://www.aeoncitimart.vn/,024 3934 2999,"Aeon Citimart, 49 P. Hai Bà Trưng, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội"
WinMart,https://www.google.com/maps/place/WinMart/data=!4m7!3m6!1s0x3135ac6e281b09ad:0x400786ca94880d30!8m2!3d20.996457!4d105.8447063!16s%2Fg%2F1tdbhgl_!19sChIJrQkbKG6sNTERMA2IlMqGB0A?authuser=0&hl=en&rclk=1,Supermarket,4.1,804,http://winmart.vn/,024 7106 6866,"WinMart, 163A P. Đại La, Đồng Tâm, Hai Bà Trưng, Hà Nội"
Hanoi Mart,https://www.google.com/maps/place/Hanoi+Mart/data=!4m7!3m6!1s0x3135abfa480043a9:0xf456d754bb496f0e!8m2!3d21.0131647!4d105.8664687!16s%2Fg%2F1pzyq4d6_!19sChIJqUMASPqrNTERDm9Ju1TXVvQ?authuser=0&hl=en&rclk=1,Convenience store,4,6,,0936 150 484,"2V78+7H8 Hanoi Mart, Kho Cảng Hà Nội, Bạch Đằng, Quận Hai Bà Trưng, Bạch Đằng, Hai Bà Trưng, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135ac129e9bbb83:0xc06246e1af13695c!8m2!3d20.995239!4d105.854304!16s%2Fg%2F11c6wxh4rw!19sChIJg7ubnhKsNTERXGkTr-FGYsA?authuser=0&hl=en&rclk=1,Supermarket,4.5,32,,024 7106 6866,"WinMart+, Số 194 P. Minh Khai, tổ 14, Hai Bà Trưng, Hà Nội 11619"
Siêu Thị Le's Mart,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Le%27s+Mart/data=!4m7!3m6!1s0x3135ab8ba6cfd689:0x18739cd15934b8c1!8m2!3d21.0115128!4d105.8493494!16s%2Fg%2F1pzw2nr3d!19sChIJidbPpourNTERwbg0WdGccxg?authuser=0&hl=en&rclk=1,Supermarket,4,1,,,"Siêu Thị Le's Mart, Tầng L3, Vincom Tower, 191, Đường Bà Triệu, Quận Hai Bà Trưng, Lê Đại Hành, Hai Bà Trưng, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135ad79636bf02d:0x5b4f849a63f9d0a3!8m2!3d21.000793!4d105.859192!16s%2Fg%2F11g6s887pn!19sChIJLfBrY3mtNTERo9D5Y5qET1s?authuser=0&hl=en&rclk=1,Supermarket,3.8,4,,024 7106 6866,"WinMart+, 57 P. 8-3, P, Hai Bà Trưng, Hà Nội 11619"
J-Mart.vn Siêu Thị Hàng Nhật,https://www.google.com/maps/place/J-Mart.vn+Si%C3%AAu+Th%E1%BB%8B+H%C3%A0ng+Nh%E1%BA%ADt/data=!4m7!3m6!1s0x3135ab90db493405:0x6e891ddc6f63e07!8m2!3d21.0048666!4d105.8609448!16s%2Fg%2F11b7sv6mpd!19sChIJBTRJ25CrNTERBz72xt2R6AY?authuser=0&hl=en&rclk=1,Supermarket,3.8,13,,0978 343 430,"J-Mart.vn Siêu Thị Hàng Nhật, 114 P. Kim Ngưu, Thanh Nhàn, Hai Bà Trưng, Hà Nội 100000"
