title,link,main_category,rating,reviews,website,phone,address
Vinmart+,https://www.google.com/maps/place/Vinmart%2B/data=!4m7!3m6!1s0x31345345099254d3:0xe4f4422c9c7cc059!8m2!3d21.0150438!4d105.6977353!16s%2Fg%2F11h80jw57q!19sChIJ01SSCUVTNDERWcB8nCxC9OQ?authuser=0&hl=en&rclk=1,Supermarket,4.1,35,,,"2M8X+239 Vinmart+, Song Phương, Hoài Đức, Hà Nội"
WinMart,https://www.google.com/maps/place/WinMart/data=!4m7!3m6!1s0x3134539700000001:0x6d2bdf4f186c4a96!8m2!3d21.005043!4d105.7282333!16s%2Fg%2F11c5sw6blr!19sChIJAQAAAJdTNDERlkpsGE_fK20?authuser=0&hl=en&rclk=1,Supermarket,4.1,84,http://winmart.vn/,024 7106 6866,"WinMart, Tầng 1. tòa nhà 18T2, Khu đô thị Nam An Khánh, Hoài Đức, Hà Nội 13219"
Big Xinh Mart,https://www.google.com/maps/place/Big+Xinh+Mart/data=!4m7!3m6!1s0x313453a37efb056b:0xef331bc3386fd242!8m2!3d20.9904614!4d105.7261038!16s%2Fg%2F11fswjg3qr!19sChIJawX7fqNTNDERQtJvOMMbM-8?authuser=0&hl=en&rclk=1,Department store,,,,0967 304 228,"XPRG+5CQ Big Xinh Mart, Thôn, Ngãi Cầu, Hoài Đức, Hà Nội"
Berich Mart,https://www.google.com/maps/place/Berich+Mart/data=!4m7!3m6!1s0x313453c1795582b9:0xef5b3d519a7322ad!8m2!3d20.9963314!4d105.7035994!16s%2Fg%2F11csqdrxld!19sChIJuYJVecFTNDERrSJzmlE9W-8?authuser=0&hl=en&rclk=1,Supermarket,3.9,104,,0917 167 585,"XPW3+GCQ Berich Mart, Thôn Ngự Câu, xã An Thượng, huyện Hoài Đức, TP. Hà Nội, Hoài Đức, Hà Nội"
VinMart+,https://www.google.com/maps/place/VinMart%2B/data=!4m7!3m6!1s0x31345552198c9f2d:0xa1331b46f41cc36f!8m2!3d21.0473312!4d105.7042391!16s%2Fg%2F11f77c50y_!19sChIJLZ-MGVJVNDERb8Mc9EYbM6E?authuser=0&hl=en&rclk=1,Supermarket,4.3,56,http://vinmart.com/,,"2PW3+WMQ VinMart+, Ngã tư, Hoài Đức, Hà Nội"
Dưa hấu Thu Nguyên,https://www.google.com/maps/place/D%C6%B0a+h%E1%BA%A5u+Thu+Nguy%C3%AAn/data=!4m7!3m6!1s0x313453a568e1f2c5:0x5a71272515972788!8m2!3d20.9660093!4d105.7245792!16s%2Fg%2F11q_493mlz!19sChIJxfLhaKVTNDERiCeXFSUncVo?authuser=0&hl=en&rclk=1,Supermarket,5,7,,0921 413 333,"XP8F+CR4 Dưa hấu Thu Nguyên, Unnamed Road, Đông La, Hoài Đức, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3134559350dd456b:0x54ea7e5f46fa3d86!8m2!3d21.0472907!4d105.72238!16s%2Fg%2F11jdj8lqms!19sChIJa0XdUJNVNDERhj36Rl9-6lQ?authuser=0&hl=en&rclk=1,Supermarket,4.4,27,,024 7106 6866,"WinMart+, Xóm Dền, Hoài Đức, Hà Nội"
VinMart+,https://www.google.com/maps/place/VinMart%2B/data=!4m7!3m6!1s0x313455cabfe3c34f:0x4c0f73ddde8420fe!8m2!3d21.0686562!4d105.7103097!16s%2Fg%2F11jnvkkx57!19sChIJT8Pjv8pVNDER_iCE3t1zD0w?authuser=0&hl=en&rclk=1,Supermarket,,,,024 7106 6866,"VinMart+, 19 Khu 6, TT. Trạm Trôi, Hoài Đức, Hà Nội 13206"
Siêu Thị Đức Thành,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+%C4%90%E1%BB%A9c+Th%C3%A0nh/data=!4m7!3m6!1s0x31345568905f8111:0xfe85a209ca16ec0!8m2!3d21.07467!4d105.7020703!16s%2Fg%2F11k3lmbfw_!19sChIJEYFfkGhVNDERwG6hnCBa6A8?authuser=0&hl=en&rclk=1,Supermarket,5,2,,0904 609 598,"3PF2+VV2 Siêu Thị Đức Thành, Tòa nhà HHA khu đô thị Tân, Tân Tây Đô, Đan Phượng, Hà Nội"
Siêu thị Bmart Kim chung,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+Bmart+Kim+chung/data=!4m7!3m6!1s0x3134555e361fcfdd:0x19ae7c3e4e9f633b!8m2!3d21.0499831!4d105.7095682!16s%2Fg%2F11q2ybkgb_!19sChIJ3c8fNl5VNDERO2OfTj58rhk?authuser=0&hl=en&rclk=1,Supermarket,,,,,"Siêu thị Bmart Kim chung, 85 Đ. Yên Vĩnh, Kim Chung, Hoài Đức, Hà Nội"
Đức Anh Mart,https://www.google.com/maps/place/%C4%90%E1%BB%A9c+Anh+Mart/data=!4m7!3m6!1s0x3134530cb1834d87:0xd94d497b15c56ef6!8m2!3d21.0216269!4d105.696305!16s%2Fg%2F11rwrv48v4!19sChIJh02DsQxTNDER9m7FFXtJTdk?authuser=0&hl=en&rclk=1,Supermarket,,,,,"2MCW+MG3 Đức Anh Mart, Phương Bảng, Hoài Đức, Hà Nội"
Siêu thị Thế Giới Di Động,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+Th%E1%BA%BF+Gi%E1%BB%9Bi+Di+%C4%90%E1%BB%99ng/data=!4m7!3m6!1s0x313454897725e5cf:0xc3732f4d56b671a5!8m2!3d21.0343276!4d105.7387877!16s%2Fg%2F11gf623wrm!19sChIJz-Uld4lUNDERpXG2Vk0vc8M?authuser=0&hl=en&rclk=1,Cell phone store,4.4,173,http://www.thegioididong.com/,1800 1060,"Siêu thị Thế Giới Di Động, Xóm 1, ngã tư Canh, An Trai, Vân Canh, Hoài Đức, Hà Nội"
Siêu Thị 24/7,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+24%2F7/data=!4m7!3m6!1s0x31345377e326fa25:0x897d7252e7d8a29!8m2!3d20.964607!4d105.7271997!16s%2Fg%2F11rkhxr3n0!19sChIJJfom43dTNDERKYp9LiXXlwg?authuser=0&hl=en&rclk=1,Variety store,5,4,,,"Siêu Thị 24/7, SỐ 1 NGÕ 1M ĐƯỜNG, La Tinh, Đông La, Hoài Đức, Hà Nội"
Thìn Phương Mart,https://www.google.com/maps/place/Th%C3%ACn+Ph%C6%B0%C6%A1ng+Mart/data=!4m7!3m6!1s0x313457042b0f67c1:0xb1f70c3e22005060!8m2!3d21.0423064!4d105.6766571!16s%2Fg%2F11j4mmzbhw!19sChIJwWcPKwRXNDERYFAAIj4M97E?authuser=0&hl=en&rclk=1,Supermarket,4.2,10,,0906 228 342,"Thìn Phương Mart, thôn 3 Yên Sở, Hoài Đức, Hà Nội"
