title,link,main_category,rating,reviews,website,phone,address
MM Mega Market Hoàng Mai,https://www.google.com/maps/place/MM+Mega+Market+Ho%C3%A0ng+Mai/data=!4m7!3m6!1s0x3135ac2fbdf512c9:0xec85ca86e77c24a8!8m2!3d20.9694958!4d105.8659788!16s%2Fg%2F1th25w4r!19sChIJyRL1vS-sNTERqCR854bKhew?authuser=0&hl=en&rclk=1,Shopping mall,4.1,912,http://www.mmvietnam.com/,0935 707 823,"MM Mega Market Hoàng Mai, 126 Đ. Tam Trinh, Yên Sở, Hoàng Mai, Hà Nội 100000"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135ac17a8da5b77:0x1e20ca066e3faf54!8m2!3d20.9866116!4d105.8606573!16s%2Fg%2F11c56bsp_b!19sChIJd1vaqBesNTERVK8_bgbKIB4?authuser=0&hl=en&rclk=1,Supermarket,4.4,16,,024 7106 6866,"WinMart+, Số 304 Đ. Hoàng Mai, Hoàng Văn Thụ, Hoàng Mai, Hà Nội 11713"
Winmart+ 75 tam trinh,https://www.google.com/maps/place/Winmart%2B+75+tam+trinh/data=!4m7!3m6!1s0x3135ad07c747a315:0x19f17aa38226fd7!8m2!3d20.9952243!4d105.8630642!16s%2Fg%2F11jvh7_qws!19sChIJFaNHxwetNTER128iOKoXnwE?authuser=0&hl=en&rclk=1,Supermarket,,,,,"XVW7+36P Winmart+ 75 tam trinh, Mai Động, Hoàng Mai, Hà Nội"
Siêu Thị Tít & Mít,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+T%C3%ADt+%26+M%C3%ADt/data=!4m7!3m6!1s0x3135ac10e1c04e4f:0x26ab5a199f541366!8m2!3d20.9907647!4d105.8614085!16s%2Fg%2F11g6rkstzl!19sChIJT07A4RCsNTERZhNUnxlaqyY?authuser=0&hl=en&rclk=1,Supermarket,,,,0389 899 138,"Siêu Thị Tít & Mít, 66, Mai Động, Quận Hoàng Mai, Thành Phố Hà Nội, Mai Động, Hoàng Mai, Hà Nội 100000"
Siêu thị H7 Mart,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+H7+Mart/data=!4m7!3m6!1s0x3135ad002bac5f71:0x4ce217f5aee48f68!8m2!3d20.9628347!4d105.8258335!16s%2Fg%2F11c1xpxqhq!19sChIJcV-sKwCtNTERaI_krvUX4kw?authuser=0&hl=en&rclk=1,Supermarket,4,21,,0911 692 277,"Siêu thị H7 Mart, HH4B Linh Đàm, P. Linh Đ., Hoàng Liệt, Hoàng Mai, Hà Nội"
Siêu Thị Gpmart,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Gpmart/data=!4m7!3m6!1s0x3135ac175eb30679:0x26d30494899d74d5!8m2!3d20.9878223!4d105.8639256!16s%2Fg%2F1jkvx973g!19sChIJeQazXhesNTER1XSdiZQE0yY?authuser=0&hl=en&rclk=1,Grocery store,,,,024 3634 3598,"Siêu Thị Gpmart, 3 Đ. Tam Trinh, Hoàng Văn Thụ, Hoàng Mai, Hà Nội"
Siêu thị đức thành,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+%C4%91%E1%BB%A9c+th%C3%A0nh/data=!4m7!3m6!1s0x3135ad9aff5b5a6d:0x1f5d8505aded8564!8m2!3d20.983401!4d105.8497814!16s%2Fg%2F11st7z8xwh!19sChIJbVpb_5qtNTERZIXtrQWFXR8?authuser=0&hl=en&rclk=1,Supermarket,1,2,,,"Siêu thị đức thành, 152 Phố Tân Mai, Tân Mai, Hoàng Mai, Hà Nội"
Thế giới di động,https://www.google.com/maps/place/Th%E1%BA%BF+gi%E1%BB%9Bi+di+%C4%91%E1%BB%99ng/data=!4m7!3m6!1s0x3135ac1782e6ae67:0xd715e8b868bc0587!8m2!3d20.9667464!4d105.8678586!16s%2Fg%2F11css0b2wb!19sChIJZ67mghesNTERhwW8aLjoFdc?authuser=0&hl=en&rclk=1,Cell phone store,4.6,34,http://thegioididong.com/,1800 1060,"Thế giới di động, 196 Đ. Tam Trinh, Yên Sở, Hoàng Mai, Hà Nội"
VinMart+,https://www.google.com/maps/place/VinMart%2B/data=!4m7!3m6!1s0x3135ac6ec560a735:0x3ec1d6a7f3e8e620!8m2!3d20.9914297!4d105.8445979!16s%2Fg%2F11jnvpxkl6!19sChIJNadgxW6sNTERIObo86fWwT4?authuser=0&hl=en&rclk=1,Supermarket,,,,024 7106 6866,"VinMart+, 120A P. Nguyễn An Ninh, Tương Mai, Hoàng Mai, Hà Nội 11715"
Siêu Thị Việt,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Vi%E1%BB%87t/data=!4m7!3m6!1s0x3135ad1c7c55884f:0x4fcd55a9d21c6f5d!8m2!3d20.962454!4d105.8219862!16s%2Fg%2F11lryl7xry!19sChIJT4hVfBytNTERXW8c0qlVzU8?authuser=0&hl=en&rclk=1,Supermarket,4.9,10,,0983 029 783,"Siêu Thị Việt, 114 Ng. 15 P. Bằng Liệt, Hoàng Liệt, Hoàng Mai, Hà Nội 10000"
