title,link,main_category,rating,reviews,website,phone,address
Co.opmart SCA Long Biên,https://www.google.com/maps/place/Co.opmart+SCA+Long+Bi%C3%AAn/data=!4m7!3m6!1s0x3135ab52350bf693:0x4e22ed31421e141f!8m2!3d21.0455427!4d105.8662143!16s%2Fg%2F11ftgw0y0r!19sChIJk_YLNVKrNTERHxQeQjHtIk4?authuser=0&hl=en&rclk=1,Supermarket,4.3,136,,024 3202 2140,"Co.opmart SCA Long Biên, Chung Cư Mipec Riverside, TTTM, Số 2 Phố P. Long Biên 2, Ngọc Lâm, Long Biên, Hà Nội"
Big C Long Biên,https://www.google.com/maps/place/Big+C+Long+Bi%C3%AAn/data=!4m7!3m6!1s0x3135a99dddbb9367:0xd1f5938d403f1e43!8m2!3d21.0493853!4d105.8926957!16s%2Fg%2F1tgby6zt!19sChIJZ5O73Z2pNTERQx4_QI2T9dE?authuser=0&hl=en&rclk=1,Hypermarket,4.3,6795,https://www.bigc.vn/,024 6257 3573,"Big C Long Biên, 7-9 Nguyễn Văn Linh, Tầng Hầm TTTM Savico Megamall, Quận Long Biên, TP. Hà Nội Hanoi City, 10000"
WinMart,https://www.google.com/maps/place/WinMart/data=!4m7!3m6!1s0x3135a9a979e1f88d:0xcd42a6d543a33638!8m2!3d21.0511214!4d105.9162845!16s%2Fg%2F11b6jgfclh!19sChIJjfjheampNTERODajQ9WmQs0?authuser=0&hl=en&rclk=1,Supermarket,4.3,627,http://winmart.vn/,024 3672 1468,"WinMart, Tầng 1 VinCom Plaza Long Biên, P, Long Biên, Hà Nội"
Siêu Thị Mua Đồ - Khu vực Long Biên,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Mua+%C4%90%E1%BB%93+-+Khu+v%E1%BB%B1c+Long+Bi%C3%AAn/data=!4m7!3m6!1s0x3135ab88585d3389:0x556f08d6f624bc77!8m2!3d21.0643476!4d105.8679726!16s%2Fg%2F11h6dd_2l8!19sChIJiTNdWIirNTERd7wk9tYIb1U?authuser=0&hl=en&rclk=1,Shopping mall,,,https://sieuthimuado.com/,0988 673 637,"Siêu Thị Mua Đồ - Khu vực Long Biên, 488 Ngọc Thuỵ, Ngọc Thụy, Long Biên, Hà Nội 125893"
G.Mart Supermaket,https://www.google.com/maps/place/G.Mart+Supermaket/data=!4m7!3m6!1s0x3135abd5a59084a9:0xabb9cfa941a47603!8m2!3d21.0482017!4d105.8738724!16s%2Fg%2F1pzplmmsf!19sChIJqYSQpdWrNTERA3akQanPuas?authuser=0&hl=en&rclk=1,Supermarket,3.5,4,,024 3873 7669,"G.Mart Supermaket, Đường Ngọc Lâm, Long Biên, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135aba51ae75f49:0xa5fe2a051a6bcae6!8m2!3d21.0629584!4d105.867574!16s%2Fg%2F11h6msyf4j!19sChIJSV_nGqWrNTER5sprGgUq_qU?authuser=0&hl=en&rclk=1,Supermarket,4.4,43,http://winmart.vn/,1800 6968,"3V79+52P WinMart+, Gia Thượng, Long Biên, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135a91bc44a8057:0x2dc0fab94f40d6b!8m2!3d21.031258!4d105.9150408!16s%2Fg%2F11jnxhvds_!19sChIJV4BKxBupNTERaw30lKsP3AI?authuser=0&hl=en&rclk=1,Supermarket,5,1,http://winmart.vn/,024 7106 6866,"WinMart+, 42 P. Vũ Xuân Thiều, TT. Sài Đồng, Long Biên, Hà Nội"
Le's Mart Supermarket,https://www.google.com/maps/place/Le%27s+Mart+Supermarket/data=!4m7!3m6!1s0x3135a9076bdac767:0xecdf5bd2b5655da3!8m2!3d21.0464972!4d105.9154289!16s%2Fg%2F1pzycl_jl!19sChIJZ8faawepNTERo11ltdJb3-w?authuser=0&hl=en&rclk=1,Supermarket,,,,024 3699 1909,"Le's Mart Supermarket, Tầng 1, Vincom Center Long Biên, Vincom Village, Quận Long Biên, Phúc Lợi, Long Biên, Hà Nội"
Siêu Thị Trang Anh Mart,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Trang+Anh+Mart/data=!4m7!3m6!1s0x3135a9be8a5024a9:0xadbef83eb7960000!8m2!3d21.0555789!4d105.8837908!16s%2Fg%2F11q2tf89_n!19sChIJqSRQir6pNTERAACWtz74vq0?authuser=0&hl=en&rclk=1,Supermarket,5,1,,0869 624 899,"Siêu Thị Trang Anh Mart, 21 22 CT 1B Chung Cư Home Land, Long Biên, Hà Nội"
"Winmart+ 48 phố Trạm, Long Biên","https://www.google.com/maps/place/Winmart%2B+48+ph%E1%BB%91+Tr%E1%BA%A1m,+Long+Bi%C3%AAn/data=!4m7!3m6!1s0x3135a92fc2b2bb27:0x5867d9e2db97dfdf!8m2!3d21.026428!4d105.8930876!16s%2Fg%2F11rk0369ml!19sChIJJ7uywi-pNTER39-X2-LZZ1g?authuser=0&hl=en&rclk=1",Supermarket,4.2,26,,,"Winmart+ 48 phố Trạm, Long Biên, 48 P. Tram, Long Biên, Hà Nội"
