title,link,main_category,rating,reviews,website,phone,address
Big C Mê Linh,https://www.google.com/maps/place/Big+C+M%C3%AA+Linh/data=!4m7!3m6!1s0x3134fe1d60a8e4bb:0x1ebc6b403b19d4d9!8m2!3d21.1874027!4d105.7822931!16s%2Fg%2F11c1qs46lw!19sChIJu-SoYB3-NDER2dQZO0BrvB4?authuser=0&hl=en&rclk=1,Supermarket,4.1,1346,http://bigc.vn/store/big-c-me-linh-4.html,024 3886 8166,"Big C Mê Linh, Tầng 1, TTTM Mê Linh Plaza, KM8, Cao Tốc Bắc Thăng Long - Nội Bài, Phường Quang Minh, Mê Linh, Hà Nội"
Bỉm - sữa tốt Đông Lăng,https://www.google.com/maps/place/B%E1%BB%89m+-+s%E1%BB%AFa+t%E1%BB%91t+%C4%90%C3%B4ng+L%C4%83ng/data=!4m7!3m6!1s0x3134ff17cdf7b06b:0x5e6af831acd1f406!8m2!3d21.19203!4d105.7770299!16s%2Fg%2F11qprwsjtk!19sChIJa7D3zRf_NDERBvTRrDH4al4?authuser=0&hl=en&rclk=1,Supermarket,5,7,https://www.facebook.com/hang.rubi.5076,0966 439 967,"Bỉm - sữa tốt Đông Lăng, Tổ 7, Gia Trung, Mê Linh, Hà Nội"
Supermarket Electric Eco-mart Linh,https://www.google.com/maps/place/Supermarket+Electric+Eco-mart+Linh/data=!4m7!3m6!1s0x3134fe58f5da35bd:0xb05396547ed3c6d6!8m2!3d21.1718965!4d105.7368234!16s%2Fg%2F11cly9pynb!19sChIJvTXa9Vj-NDER1sbTflSWU7A?authuser=0&hl=en&rclk=1,Electronics store,4.2,123,https://eco-mart.vn/,024 3965 6356,"Supermarket Electric Eco-mart Linh, QL23, Mê Linh, Hà Nội"
Me Linh Plaza,https://www.google.com/maps/place/Me+Linh+Plaza/data=!4m7!3m6!1s0x313501e2a6d66a4d:0xab2c326e64f47081!8m2!3d21.1867132!4d105.7825165!16s%2Fg%2F1tdc2pk4!19sChIJTWrWpuIBNTERgXD0ZG4yLKs?authuser=0&hl=en&rclk=1,Shopping mall,4.1,2916,http://melinhplaza.biz/,024 3886 8808,"Me Linh Plaza, Trạm thu phí Cầu đường Cao tốc Thăng Long - Nội Bài, Km8, Đ. Võ Văn Kiệt, Quang Minh, Mê Linh, Hà Nội"
Siêu Thị Hoa,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Hoa/data=!4m7!3m6!1s0x3134fe50ac233943:0x4a02a126191613ea!8m2!3d21.1680421!4d105.7412811!16s%2Fg%2F11lsvm3f1l!19sChIJQzkjrFD-NDER6hMWGSahAko?authuser=0&hl=en&rclk=1,Supermarket,,,,,"5P9R+6G6 Siêu Thị Hoa, QL23, Mê Linh, Hà Nội"
Supermarket electronics Green - Tien Phong Linh,https://www.google.com/maps/place/Supermarket+electronics+Green+-+Tien+Phong+Linh/data=!4m7!3m6!1s0x3134ffb5c4cfec45:0x45829eaaeb8ad3c3!8m2!3d21.150422!4d105.7566471!16s%2Fg%2F11c1l5lz2l!19sChIJRezPxLX_NDERw9OK66qegkU?authuser=0&hl=en&rclk=1,Electronics store,4.3,197,https://www.dienmayxanh.com/?utm_source=GMB_list&utm_medium=organic&utm_campaign=GMB_website,1800 1061,"Supermarket electronics Green - Tien Phong Linh, Khu 15, thôn, Yên Nhân, Mê Linh, Hà Nội 10000"
CÔNG TY CỔ PHẦN ĐẠI SIÊU THỊ Mê LINH,https://www.google.com/maps/place/C%C3%94NG+TY+C%E1%BB%94+PH%E1%BA%A6N+%C4%90%E1%BA%A0I+SI%C3%8AU+TH%E1%BB%8A+M%C3%AA+LINH/data=!4m7!3m6!1s0x3134fe27d1034ecd:0x58edfb5287fab01!8m2!3d21.1866084!4d105.7820984!16s%2Fg%2F11h0vt9_n7!19sChIJzU4D0Sf-NDERAat_KLXfjgU?authuser=0&hl=en&rclk=1,Store,5,1,https://noithatmelinh.vn/,0988 098 545,"CÔNG TY CỔ PHẦN ĐẠI SIÊU THỊ Mê LINH, Km8 Đ. Võ Văn Kiệt, thị xã, Mê Linh, Hà Nội 10000"
Công Ty Cổ Phần Đại Siêu Thị Mê Linh,https://www.google.com/maps/place/C%C3%B4ng+Ty+C%E1%BB%95+Ph%E1%BA%A7n+%C4%90%E1%BA%A1i+Si%C3%AAu+Th%E1%BB%8B+M%C3%AA+Linh/data=!4m7!3m6!1s0x3134fe27d1034ed3:0xf9120e467ec5556a!8m2!3d21.1654572!4d105.7798202!16s%2Fg%2F11h7s4bf5j!19sChIJ004D0Sf-NDERalXFfkYOEvk?authuser=0&hl=en&rclk=1,Store,,,,,"Công Ty Cổ Phần Đại Siêu Thị Mê Linh, 8 Đ. Võ Văn Kiệt, Nam Hông, Mê Linh, Hà Nội"
Vm+ Thường Lệ Mê Linh,https://www.google.com/maps/place/Vm%2B+Th%C6%B0%E1%BB%9Dng+L%E1%BB%87+M%C3%AA+Linh/data=!4m7!3m6!1s0x3134ffb33b6d6e13:0xc2b068907f17e84!8m2!3d21.1744087!4d105.7326749!16s%2Fg%2F11fp31d0vn!19sChIJE25tO7P_NDERhH7xB4kGKww?authuser=0&hl=en&rclk=1,Supermarket,4.7,6,,,"Vm+ Thường Lệ Mê Linh, QL23, Thượng Lệ, Mê Linh, Hà Nội"
Vinmart+ chợ Phố Hạ-Mê Linh,https://www.google.com/maps/place/Vinmart%2B+ch%E1%BB%A3+Ph%E1%BB%91+H%E1%BA%A1-M%C3%AA+Linh/data=!4m7!3m6!1s0x3134ff2594dd13c9:0xcadac2fb6b4bacbb!8m2!3d21.1594855!4d105.7305681!16s%2Fg%2F11h7_mv41y!19sChIJyRPdlCX_NDERu6xLa_vC2so?authuser=0&hl=en&rclk=1,Supermarket,4.3,20,,,"5P5J+Q6W Vinmart+ chợ Phố Hạ-Mê Linh, Thượng Lệ, Mê Linh, Hà Nội"
