title,link,main_category,rating,reviews,website,phone,address
Tops Market The Garden,https://www.google.com/maps/place/Tops+Market+The+Garden/data=!4m7!3m6!1s0x313454aa69330709:0xccef38571a5117ac!8m2!3d21.0153369!4d105.777832!16s%2Fg%2F11bz0d1xx6!19sChIJCQczaapUNDERrBdRGlc478w?authuser=0&hl=en&rclk=1,Supermarket,4.2,2582,http://topsmarket.vn/,0936 032 123,"Tops Market The Garden, Tầng Hầm B1- TTTM The Garden, Phường, Từ Liêm, Hà Nội"
Tmart,https://www.google.com/maps/place/Tmart/data=!4m7!3m6!1s0x3135ad3ac88975df:0x5bc74fad63c74fd7!8m2!3d20.9935706!4d105.7865103!16s%2Fg%2F11gm9t7cfh!19sChIJ33WJyDqtNTER10_HY61Px1s?authuser=0&hl=en&rclk=1,Supermarket,4.4,13,,1900 6446,"XQVP+CJC Tmart, Unnamed Road, Nam Từ Liêm, Hà Nội"
Quang Minh Mart,https://www.google.com/maps/place/Quang+Minh+Mart/data=!4m7!3m6!1s0x313453ed2eb29997:0x441eedd201c9d33d!8m2!3d21.0065105!4d105.7810994!16s%2Fg%2F11fkbrm697!19sChIJl5myLu1TNDERPdPJAdLtHkQ?authuser=0&hl=en&rclk=1,Variety store,4.3,12,,0978 821 670,"Quang Minh Mart, 81 Ng. 36 P. Miếu Đầm, Mễ Trì, Nam Từ Liêm, Hà Nội"
Supermarket MH,https://www.google.com/maps/place/Supermarket+MH/data=!4m7!3m6!1s0x313454bdc51d9503:0xcc14e296acdd93bf!8m2!3d21.0325177!4d105.7605273!16s%2Fg%2F11c6dz4dhz!19sChIJA5Udxb1UNDERv5PdrJbiFMw?authuser=0&hl=en&rclk=1,Supermarket,5,1,,,"2QM6+262 Supermarket MH, Cầu Diễn, Từ Liêm, Hà Nội"
Winmart+,https://www.google.com/maps/place/Winmart%2B/data=!4m7!3m6!1s0x3134535251ff28f1:0x378d94f5f52f2670!8m2!3d21.00523!4d105.778387!16s%2Fg%2F11g8yg8zw0!19sChIJ8Sj_UVJTNDERcCYv9fWUjTc?authuser=0&hl=en&rclk=1,Supermarket,4.3,86,,024 7106 6866,"Winmart+, 23 P. Mễ Trì Thượng, Mễ Trì, Từ Liêm, Hà Nội 12012"
Siêu thị Tmart A4 Mỹ Đình,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+Tmart+A4+M%E1%BB%B9+%C4%90%C3%ACnh/data=!4m7!3m6!1s0x313455b292f86953:0xb2e1345b75757467!8m2!3d21.035556!4d105.7641201!16s%2Fg%2F11sbhl7gl0!19sChIJU2n4krJVNDERZ3R1dVs04bI?authuser=0&hl=en&rclk=1,Supermarket,4.3,6,,,"Siêu thị Tmart A4 Mỹ Đình, A4 - Mỹ Đình 1, Cầu Diễn, Từ Liêm, Hà Nội"
Siêu Thị 3 Hào,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+3+H%C3%A0o/data=!4m7!3m6!1s0x313453545cb21eb7:0x744bef440637b369!8m2!3d21.0101979!4d105.778458!16s%2Fg%2F11h414lk_x!19sChIJtx6yXFRTNDERabM3BkTvS3Q?authuser=0&hl=en&rclk=1,Grocery store,4.1,28,,,"Siêu Thị 3 Hào, 304 P. Mễ Trì Thượng, Mễ Trì, Nam Từ Liêm, Hà Nội"
Circle K Viet Nam,https://www.google.com/maps/place/Circle+K+Viet+Nam/data=!4m7!3m6!1s0x313455cbfb1f1d11:0xb38558127008059a!8m2!3d21.0168067!4d105.7753877!16s%2Fg%2F11fpl8zbx6!19sChIJER0f-8tVNDERmgUIcBJYhbM?authuser=0&hl=en&rclk=1,Convenience store,3,24,https://www.circlek.com.vn/en/store-locator/,024 3201 8196,"Circle K Viet Nam, The Manor, Khu Đô Thị Mỹ Đình, Nam Từ Liêm, Hà Nội"
Siêu thị MYA MART,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+MYA+MART/data=!4m7!3m6!1s0x31345520a86226cf:0xb6183a36632d3f0!8m2!3d21.0315198!4d105.753044!16s%2Fg%2F11qn5xhz7s!19sChIJzyZiqCBVNDER8NMyZqODYQs?authuser=0&hl=en&rclk=1,Supermarket,,,,0903 244 898,"Siêu thị MYA MART, 22 Lô 5 Liền Kề chung cư báo nhân dân, đường Trịnh Văn Bô, Phường Xuân Phương, Từ Liêm, Hà Nội"
Vinmart+,https://www.google.com/maps/place/Vinmart%2B/data=!4m7!3m6!1s0x313455cc8e9f5749:0x80b465c6da77b87b!8m2!3d21.0359062!4d105.7673952!16s%2Fg%2F11h6clv7rx!19sChIJSVefjsxVNDERe7h32sZltIA?authuser=0&hl=en&rclk=1,Supermarket,3,1,,,"Vinmart+, Lô TT-01 4 pho, P. Hàm Nghi, Mỹ Đình, Nam Từ Liêm, Hà Nội"
