title,link,main_category,rating,reviews,website,phone,address
Vinmat phú xuyên 2,https://www.google.com/maps/place/Vinmat+ph%C3%BA+xuy%C3%AAn+2/data=!4m7!3m6!1s0x3135b54eb3a236fb:0x2816397edddf7897!8m2!3d20.7400837!4d105.8740822!16s%2Fg%2F11khj06rq1!19sChIJ-zais061NTERl3jf3X45Fig?authuser=0&hl=en&rclk=1,Store,,,,,"PVRF+2JG Vinmat phú xuyên 2, Đại Nghiệp, Phú Xuyên, Hà Nội"
Trình VIên - PHú Túc - PHú Xuyên - Hà Nội,https://www.google.com/maps/place/Tr%C3%ACnh+VI%C3%AAn+-+PH%C3%BA+T%C3%BAc+-+PH%C3%BA+Xuy%C3%AAn+-+H%C3%A0+N%E1%BB%99i/data=!4m7!3m6!1s0x3135b51e156261cb:0x968e7771420ca694!8m2!3d20.7781649!4d105.8099297!16s%2Fg%2F11gdgdg3p6!19sChIJy2FiFR61NTERlKYMQnF3jpY?authuser=0&hl=en&rclk=1,Grocery store,4.5,43,,0973 878 410,"Trình VIên - PHú Túc - PHú Xuyên - Hà Nội, Phú Túc, Phú Xuyên, Hà Nội"
Công Ty Cổ Phần XNK Vật Tư Phú Hà,https://www.google.com/maps/place/C%C3%B4ng+Ty+C%E1%BB%95+Ph%E1%BA%A7n+XNK+V%E1%BA%ADt+T%C6%B0+Ph%C3%BA+H%C3%A0/data=!4m7!3m6!1s0x3135b739e5a2437f:0x991ad8d59c065431!8m2!3d20.736668!4d105.913215!16s%2Fg%2F11rkg3mgk0!19sChIJf0Oi5Tm3NTERMVQGnNXYGpk?authuser=0&hl=en&rclk=1,Grocery store,,,,,"PWP7+M77 Công Ty Cổ Phần XNK Vật Tư Phú Hà, TT. Phú Xuyên, Phú Xuyên, Hà Nội"
Pao phú xuyên,https://www.google.com/maps/place/Pao+ph%C3%BA+xuy%C3%AAn/data=!4m7!3m6!1s0x3135c9e4300604bd:0xb64d99449f9cedac!8m2!3d20.7089478!4d105.9447767!16s%2Fg%2F11sy_rmnvz!19sChIJvQQGMOTJNTERrO2cn0SZTbY?authuser=0&hl=en&rclk=1,Bakery,5,2,,0825 566 222,"PW5V+HWC Pao phú xuyên, Chợ bìm, Trị Thuỷ, Phú Xuyên, Hà Nội"
Thế Giới Di Động Phú Xuyên,https://www.google.com/maps/place/Th%E1%BA%BF+Gi%E1%BB%9Bi+Di+%C4%90%E1%BB%99ng+Ph%C3%BA+Xuy%C3%AAn/data=!4m7!3m6!1s0x3135b6304544a30b:0x97dd6db5a27758b7!8m2!3d20.7371019!4d105.913424!16s%2Fg%2F11g731r2v7!19sChIJC6NERTC2NTERt1h3orVt3Zc?authuser=0&hl=en&rclk=1,Electronics store,4.2,70,https://www.thegioididong.com/sieu-thi-tieu-khu-my-lam-thi-tran-phu-xuyen-hphu-xuyen-t-776,1800 1060,"PWP7+R9V Thế Giới Di Động Phú Xuyên, Phố, Phú Xuyên, Hà Nội"
FPT Shop,https://www.google.com/maps/place/FPT+Shop/data=!4m7!3m6!1s0x3135b62faf9aaeff:0x29898a9fe3607dd6!8m2!3d20.7383835!4d105.9135341!16s%2Fg%2F11bw2gc9jk!19sChIJ_66ary-2NTER1n1g45-KiSk?authuser=0&hl=en&rclk=1,Cell phone store,4.3,66,http://fptshop.com.vn/,1800 6601,"FPT Shop, cạnh Honda, Tiểu khu Mỹ Lâm, Phú Xuyên, Hà Nội"
Chợ Khê,https://www.google.com/maps/place/Ch%E1%BB%A3+Kh%C3%AA/data=!4m7!3m6!1s0x3135c8657e10848d:0xf0198f59cce737c9!8m2!3d20.6846377!4d105.9556333!16s%2Fg%2F11gc8jvpf6!19sChIJjYQQfmXINTERyTfnzFmPGfA?authuser=0&hl=en&rclk=1,Supermarket,4.1,44,,,"MXM4+V72 Chợ Khê, Trị Thuỷ, Phú Xuyên, Hà Nội"
Siêu thị Chay BBB,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+Chay+BBB/data=!4m7!3m6!1s0x3135b594174bcfad:0x940e52d43925f72!8m2!3d20.7947228!4d105.8255368!16s%2Fg%2F11sd51pgxm!19sChIJrc9LF5S1NTERcl-SQy3lQAk?authuser=0&hl=en&rclk=1,Supermarket,5,1,,,"QRVG+V5G Siêu thị Chay BBB, Đ. 429, Hồng Minh, Phú Xuyên, Hà Nội"
"Siêu thị Điện máy XANH Phú Mỹ, Phú Xuyên","https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+%C4%90i%E1%BB%87n+m%C3%A1y+XANH+Ph%C3%BA+M%E1%BB%B9,+Ph%C3%BA+Xuy%C3%AAn/data=!4m7!3m6!1s0x3135b647d687c123:0x725371926ccf417e!8m2!3d20.7493034!4d105.9110773!16s%2Fg%2F11c609mxxb!19sChIJI8GH1ke2NTERfkHPbJJxU3I?authuser=0&hl=en&rclk=1",Electronics store,4.4,111,https://www.dienmayxanh.com/?utm_source=GMB_list&utm_medium=organic&utm_campaign=GMB_website,1800 1061,"Siêu thị Điện máy XANH Phú Mỹ, Phú Xuyên, Thôn, Phú Mỹ, Phú Xuyên, Hà Nội 10000"
Mẹ và Bé Bopbi mart,https://www.google.com/maps/place/M%E1%BA%B9+v%C3%A0+B%C3%A9+Bopbi+mart/data=!4m7!3m6!1s0x3135b7f772db2123:0x35ef92d7819103e3!8m2!3d20.7383534!4d105.9139491!16s%2Fg%2F11ss3ls1hb!19sChIJIyHbcve3NTER4wORgdeS7zU?authuser=0&hl=en&rclk=1,Supermarket,,,,,"Mẹ và Bé Bopbi mart, 151 Mỹ Lâm, TT. Phú Xuyên, Phú Xuyên, Hà Nội"
