title,link,main_category,rating,reviews,website,phone,address
Điện Máy Xanh Quốc Oai,https://www.google.com/maps/place/%C4%90i%E1%BB%87n+M%C3%A1y+Xanh+Qu%E1%BB%91c+Oai/data=!4m7!3m6!1s0x3134511daaaaaaa7:0xb228491e00a5695d!8m2!3d20.9932271!4d105.6396735!16s%2Fg%2F11c2l131ll!19sChIJp6qqqh1RNDERXWmlAB5JKLI?authuser=0&hl=en&rclk=1,Electronics store,4.3,224,https://www.dienmayxanh.com/?utm_source=GMB_list&utm_medium=organic&utm_campaign=GMB_website,1800 1061,"Điện Máy Xanh Quốc Oai, Đ. Phố Huyện, Hữu Bằng, Quốc Oai, Hà Nội 10000"
Siêu thị tự chọn Hà Chi,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+t%E1%BB%B1+ch%E1%BB%8Dn+H%C3%A0+Chi/data=!4m7!3m6!1s0x313451ad8c5acaf9:0x56c87058fe9c1063!8m2!3d20.9534115!4d105.6161665!16s%2Fg%2F11h_6s99_s!19sChIJ-cpajK1RNDERYxCc_lhwyFY?authuser=0&hl=en&rclk=1,Shopping mall,5,1,,0943 100 792,"XJ38+9F7 Siêu thị tự chọn Hà Chi, Cấn Xá Thượng, Quốc Oai, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x313451795da0522b:0x36c1e042620d9d9!8m2!3d21.0232035!4d105.646557!16s%2Fg%2F11h3b2n1_k!19sChIJK1KgXXlRNDER2dkgJgQebAM?authuser=0&hl=en&rclk=1,Supermarket,3.5,13,http://winmart.vn/,,"Hà Nội, Quốc Oai, xom8,thôn Thuỵ Khuê WinMart+"
Mobile World Store,https://www.google.com/maps/place/Mobile+World+Store/data=!4m7!3m6!1s0x31345102b6de7121:0xd5b9ca910e7b1ac0!8m2!3d20.9918555!4d105.642455!16s%2Fg%2F11c1th_7l7!19sChIJIXHetgJRNDERwBp7DpHKudU?authuser=0&hl=en&rclk=1,Cell phone store,4.5,93,http://www.thegioididong.com/,1800 1060,"Mobile World Store, Số 1 Đ. Phố Huyện, TT. Quốc Oai, Quốc Oai, Hà Nội 10000"
"WinMart+254 Phố Huyện, Quốc Oai","https://www.google.com/maps/place/WinMart%2B254+Ph%E1%BB%91+Huy%E1%BB%87n,+Qu%E1%BB%91c+Oai/data=!4m7!3m6!1s0x313450e330f27543:0x203accd52ee1f5d6!8m2!3d20.9935947!4d105.6374489!16s%2Fg%2F11jcrwrtsh!19sChIJQ3XyMONQNDER1vXhLtXMOiA?authuser=0&hl=en&rclk=1",Grocery store,4.2,16,,024 7106 6866,"WinMart+254 Phố Huyện, Quốc Oai, 254 Đ. Phố Huyện, TT. Quốc Oai, Quốc Oai, Hà Nội 13306"
Tân Hường Electronics,https://www.google.com/maps/place/T%C3%A2n+H%C6%B0%E1%BB%9Dng+Electronics/data=!4m7!3m6!1s0x3134510366d6c339:0x6f6fdccb4264ecb6!8m2!3d20.990333!4d105.6467756!16s%2Fg%2F11bzrmqm38!19sChIJOcPWZgNRNDERtuxkQsvcb28?authuser=0&hl=en&rclk=1,Electronics store,4.4,28,,0966 554 422,"XJRW+4PJ Tân Hường Electronics, ĐT419, TT. Quốc Oai, Quốc Oai, Hà Nội"
Hợi Thương Food,https://www.google.com/maps/place/H%E1%BB%A3i+Th%C6%B0%C6%A1ng+Food/data=!4m7!3m6!1s0x3135ab7cc08322e5:0xf6a42f1d7b5d85a!8m2!3d21.0247601!4d105.6461767!16s%2Fg%2F11smjytsz5!19sChIJ5SKDwHyrNTERWti11_FCag8?authuser=0&hl=en&rclk=1,Supermarket,5,5,,0988 001 261,"Hợi Thương Food, Sài Sơn, Quốc Oai, Hà Nội"
Điện Máy Thịnh Huyền,https://www.google.com/maps/place/%C4%90i%E1%BB%87n+M%C3%A1y+Th%E1%BB%8Bnh+Huy%E1%BB%81n/data=!4m7!3m6!1s0x313453068cd7a05b:0x77bb573f7163c2de!8m2!3d20.9917897!4d105.6421326!16s%2Fg%2F11rlsfdzvv!19sChIJW6DXjAZTNDER3sJjcT9Xu3c?authuser=0&hl=en&rclk=1,Electronics store,4,2,,0961 481 357,"Điện Máy Thịnh Huyền, 131 Đ. Phố Huyện, TT. Quốc Oai, Quốc Oai, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3134514e918233a3:0x5df09764119b2065!8m2!3d20.9900283!4d105.6379928!16s%2Fg%2F11jv34y9f_!19sChIJozOCkU5RNDERZSCbEWSX8F0?authuser=0&hl=en&rclk=1,Grocery store,4.5,17,,024 7106 6866,"WinMart+, 51 Đ. Phố Huyện, Hữu Bằng, Quốc Oai, Hà Nội 13306"
Cửa hàng bỉm sữa mẹ và bé,https://www.google.com/maps/place/C%E1%BB%ADa+h%C3%A0ng+b%E1%BB%89m+s%E1%BB%AFa+m%E1%BA%B9+v%C3%A0+b%C3%A9/data=!4m7!3m6!1s0x31345136376f90bb:0x866ad1c1e5c60e25!8m2!3d20.9627455!4d105.6793792!16s%2Fg%2F11t_gt8gbn!19sChIJu5BvNzZRNDERJQ7G5cHRaoY?authuser=0&hl=en&rclk=1,Supermarket,,,,,"XM7H+3QR Cửa hàng bỉm sữa mẹ và bé, Tân Hoà, Quốc Oai, Hà Nội"
