title,link,main_category,rating,reviews,website,phone,address
Siêu Thị,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B/data=!4m7!3m6!1s0x313503a2fdc577eb:0xa945e36030ef0d9d!8m2!3d21.2307205!4d105.8508727!16s%2Fg%2F11gdqwdt1t!19sChIJ63fF_aIDNTERnQ3vMGDjRak?authuser=0&hl=en&rclk=1,Supermarket,2,2,,0976 763 475,"6VJ2+78Q Siêu Thị, Tiên Dược, Sóc Sơn, Hà Nội"
"Siêu thị Gochi (Mẹ và Bé, hàng tiêu dùng nhập khẩu)","https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+Gochi+%28M%E1%BA%B9+v%C3%A0+B%C3%A9,+h%C3%A0ng+ti%C3%AAu+d%C3%B9ng+nh%E1%BA%ADp+kh%E1%BA%A9u%29/data=!4m7!3m6!1s0x3135034328050eff:0x883ffb8dcded97a!8m2!3d21.2562981!4d105.8530368!16s%2Fg%2F11s37cf0sx!19sChIJ_w4FKEMDNTERetne3Lj_gwg?authuser=0&hl=en&rclk=1",Supermarket,,,,,"Siêu thị Gochi (Mẹ và Bé, hàng tiêu dùng nhập khẩu), 95, tổ 2, thị trấn Sóc Sơn (cổng sau chợ, Sóc Sơn, Hà Nội"
Siêu Thị Vietmart,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Vietmart/data=!4m7!3m6!1s0x31350314a117b8cf:0xf901c2399089a850!8m2!3d21.2568094!4d105.8513165!16s%2Fg%2F11d_tv5n__!19sChIJz7gXoRQDNTERUKiJkDnCAfk?authuser=0&hl=en&rclk=1,Supermarket,4.5,4,https://www.facebook.com/vietmart365/,0984 528 189,"Siêu Thị Vietmart, 6 ngõ 44 Đ. Núi Đôi, Sóc Sơn, Hà Nội"
WinMart+ khu đấu giá tổ 1 TT Sóc Sơn,https://www.google.com/maps/place/WinMart%2B+khu+%C4%91%E1%BA%A5u+gi%C3%A1+t%E1%BB%95+1+TT+S%C3%B3c+S%C6%A1n/data=!4m7!3m6!1s0x3135036662009961:0xde8120831b6b66f2!8m2!3d21.2572961!4d105.8577128!16s%2Fg%2F11jb87tdqr!19sChIJYZkAYmYDNTER8mZrG4Mggd4?authuser=0&hl=en&rclk=1,Supermarket,4.5,15,,024 7106 6866,"WinMart+ khu đấu giá tổ 1 TT Sóc Sơn, Khu đấu giá Tổ 1, Sóc Sơn, Hà Nội 12206"
Quán ăn Phù lỗ sóc sơn,https://www.google.com/maps/place/Qu%C3%A1n+%C4%83n+Ph%C3%B9+l%E1%BB%97+s%C3%B3c+s%C6%A1n/data=!4m7!3m6!1s0x313503d34a091775:0x45cf13d1e1059e33!8m2!3d21.21269!4d105.847861!16s%2Fg%2F11sbcvzhls!19sChIJdRcJStMDNTERM54F4dETz0U?authuser=0&hl=en&rclk=1,Grocery store,,,,,"6R7X+43H Quán ăn Phù lỗ sóc sơn, xóm Trại, Sóc Sơn, Hà Nội"
Siêu thị Minh Trí,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+Minh+Tr%C3%AD/data=!4m7!3m6!1s0x3134fd118f3f9349:0x8fd5bcf510b7fe36!8m2!3d21.2652157!4d105.7507479!16s%2Fg%2F11sh24hnzv!19sChIJSZM_jxH9NDERNv63EPW81Y8?authuser=0&hl=en&rclk=1,Supermarket,4.3,4,https://www.facebook.com/SI%C3%8AU-TH%E1%BB%8A-MINH-TR%C3%8D-100326905860764/?ti=as,,"Siêu thị Minh Trí, 2012 Đ. Liên Thôn - Xã Minh Trí, Thắng Trí, Sóc Sơn, Hà Nội"
Siêu Thị Nội Bài,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+N%E1%BB%99i+B%C3%A0i/data=!4m7!3m6!1s0x313503e1173f64c3:0x6d60d0dca88d9171!8m2!3d21.2347531!4d105.8078928!16s%2Fg%2F11sh05f72b!19sChIJw2Q_F-EDNTERcZGNqNzQYG0?authuser=0&hl=en&rclk=1,Supermarket,3,1,,0359 699 399,"6RM5+W5 Siêu Thị Nội Bài, Quang Tiến, Sóc Sơn, Hà Nội"
"WinMart+ thôn đường 3, Phủ Lỗ","https://www.google.com/maps/place/WinMart%2B+th%C3%B4n+%C4%91%C6%B0%E1%BB%9Dng+3,+Ph%E1%BB%A7+L%E1%BB%97/data=!4m7!3m6!1s0x313503af3e1b7b57:0x61af6a64c95634ee!8m2!3d21.202645!4d105.848757!16s%2Fg%2F11skdz0fhw!19sChIJV3sbPq8DNTER7jRWyWRqr2E?authuser=0&hl=en&rclk=1",Supermarket,4.5,13,,,"WinMart+ thôn đường 3, Phủ Lỗ, 25A QL3, Phủ Lỗ, Sóc Sơn, Hà Nội"
SIÊU THỊ DT MART,https://www.google.com/maps/place/SI%C3%8AU+TH%E1%BB%8A+DT+MART/data=!4m7!3m6!1s0x3134e351e7a78041:0xab46171746f5dda5!8m2!3d21.3009591!4d105.7648623!16s%2Fg%2F11ty5n9zs5!19sChIJQYCn51HjNDERpd31RhcXRqs?authuser=0&hl=en&rclk=1,Supermarket,,,,,"8Q27+CX7 SIÊU THỊ DT MART, Minh Trí, Sóc Sơn, Hà Nội"
bình thoa sóc sơn,https://www.google.com/maps/place/b%C3%ACnh+thoa+s%C3%B3c+s%C6%A1n/data=!4m7!3m6!1s0x313503bdccb01d63:0xbeecab655739a527!8m2!3d21.2801531!4d105.8751861!16s%2Fg%2F11n5r_6s4j!19sChIJYx2wzL0DNTERJ6U5V2Wr7L4?authuser=0&hl=en&rclk=1,Store,,,,,"7VJG+337 bình thoa sóc sơn, Unnamed Road, Tân Minh, Sóc Sơn, Hà Nội"
