title,link,main_category,rating,reviews,website,phone,address
Lan Chi Mart,https://www.google.com/maps/place/Lan+Chi+Mart/data=!4m7!3m6!1s0x3134f603e13ac761:0x67c9be73cec25517!8m2!3d21.1373542!4d105.5063478!16s%2Fg%2F1hdzmxl2k!19sChIJYcc64QP2NDERF1XCznO-yWc?authuser=0&hl=en&rclk=1,Supermarket,4,381,http://lanchi.vn/,0916 603 888,"4GP4+WGX Lan Chi Mart, Phường, Sơn Tây, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3134f70e0f786717:0x6962fbe08b6b0917!8m2!3d21.135664!4d105.5025441!16s%2Fg%2F11jdj98sg2!19sChIJF2d4Dw73NDERFwlri-D7Ymk?authuser=0&hl=en&rclk=1,Supermarket,3.5,4,,024 7106 6866,"WinMart+, 69 Phố Quang Trung, Phường, Sơn Tây, Hà Nội 11514"
Cửa Hàng Tạp Hóa,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+T%E1%BA%A1p+H%C3%B3a/data=!4m7!3m6!1s0x3134f605980be505:0xbd51416a68877246!8m2!3d21.1426!4d105.5086974!16s%2Fg%2F11c5st9k2m!19sChIJBeULmAX2NDERRnKHaGpBUb0?authuser=0&hl=en&rclk=1,Department store,4.1,14,,024 3361 6721,"Cửa Hàng Tạp Hóa, Lô 56, La Thành, Thị Xã Sơn Tây, Thành Phố Hà Nội, Viên Sơn, Sơn Tây, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3134f6085902bc3f:0x34b790be9779c221!8m2!3d21.1471162!4d105.5050402!16s%2Fg%2F11jnxtms5r!19sChIJP7wCWQj2NDERIcJ5l76QtzQ?authuser=0&hl=en&rclk=1,Supermarket,4.3,10,,024 7106 6866,"WinMart+, 1 La Thành, P. Lê Lợi, Sơn Tây, Hà Nội"
Siêu thị H2 Mart,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+H2+Mart/data=!4m7!3m6!1s0x3134f7a20235f783:0xd4187f33499952cf!8m2!3d21.1360688!4d105.5027625!16s%2Fg%2F11fmlfsljg!19sChIJg_c1AqL3NDERz1KZSTN_GNQ?authuser=0&hl=en&rclk=1,Grocery store,,,,0936 166 355,"Siêu thị H2 Mart, 53 Phố Quang Trung, P. Quang Trung, Sơn Tây, Hà Nội"
Siêu thị FujiMart,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+FujiMart/data=!4m7!3m6!1s0x3135ad212aea9119:0x6b9c8cfb6fc02c8!8m2!3d21.0054945!4d105.8219993!16s%2Fg%2F11r7qytqzy!19sChIJGZHqKiGtNTERyAL8ts_IuQY?authuser=0&hl=en&rclk=1,Supermarket,4.3,155,https://fujimart.vn/,024 3205 2324,"Siêu thị FujiMart, 324 P. Tây Sơn, Ngã Tư Sở, Đống Đa, Hà Nội"
h2Mart | Cửa Hàng Số 1,https://www.google.com/maps/place/h2Mart+%7C+C%E1%BB%ADa+H%C3%A0ng+S%E1%BB%91+1/data=!4m7!3m6!1s0x3134f60434e8a207:0xe9ede28effcb4c68!8m2!3d21.1413423!4d105.507936!16s%2Fg%2F12hl4w95x!19sChIJB6LoNAT2NDERaEzL_47i7ek?authuser=0&hl=en&rclk=1,Supermarket,4.1,19,https://www.facebook.com/h2mart,0986 646 886,"h2Mart | Cửa Hàng Số 1, 36 Trưng Vương, P. Quang Trung, Sơn Tây, Hà Nội 10000"
Lan Chi Supermarket,https://www.google.com/maps/place/Lan+Chi+Supermarket/data=!4m7!3m6!1s0x31345fa3f0bc269b:0x85988ff662bbe3ca!8m2!3d21.1098155!4d105.4485076!16s%2Fg%2F1hd_7gh55!19sChIJmya88KNfNDERyuO7YvaPmIU?authuser=0&hl=en&rclk=1,Supermarket,3.9,380,,0833 456 789,"4C5X+WCC Lan Chi Supermarket, TL87A, Xuân Sơn, Sơn Tây, Hà Nội"
Thuốc lá điện tử Pod vape sơn tây Tinh dầu giá rẻ chính hãng,https://www.google.com/maps/place/Thu%E1%BB%91c+la%CC%81+%C4%91i%E1%BB%87n+t%E1%BB%AD+Pod+vape+s%C6%A1n+t%C3%A2y+Tinh+d%E1%BA%A7u+gia%CC%81+re%CC%89+chi%CC%81nh+ha%CC%83ng/data=!4m7!3m6!1s0x31345fef98756d69:0x668804387574c73d!8m2!3d21.1111358!4d105.4942965!16s%2Fg%2F11v3tzcpgf!19sChIJaW11mO9fNDERPcd0dTgEiGY?authuser=0&hl=en&rclk=1,Supermarket,,,http://vaperenhat.com/,0335 529 033,"Thuốc lá điện tử Pod vape sơn tây Tinh dầu giá rẻ chính hãng, 31 ĐT416, P. Sơn Lộc, Sơn Tây, Hà Nội"
Siêu Thị Ct Mart,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Ct+Mart/data=!4m7!3m6!1s0x31345f4d146e26b3:0x530251d02676ec81!8m2!3d21.1201568!4d105.4987284!16s%2Fg%2F12mj_lg5p!19sChIJsyZuFE1fNDERgex2JtBRAlM?authuser=0&hl=en&rclk=1,Grocery store,,,,,"Siêu Thị Ct Mart, 137 Chùa Thông, P. Sơn Lộc, Sơn Tây, Hà Nội"
Lan Chi Supermarket,https://www.google.com/maps/place/Lan+Chi+Supermarket/data=!4m7!3m6!1s0x31345953e0162fb1:0xaf1b263dbfc13eeb!8m2!3d21.047998!4d105.5049639!16s%2Fg%2F11r99zb5q!19sChIJsS8W4FNZNDER6z7Bvz0mG68?authuser=0&hl=en&rclk=1,Supermarket,3.9,524,http://lanchi.vn/,0916 603 888,"2GX3+5XW Lan Chi Supermarket, QL21A, Cổ Đông, Sơn Tây, Hà Nội"
Đại Lý Minh Cạnh,https://www.google.com/maps/place/%C4%90%E1%BA%A1i+L%C3%BD+Minh+C%E1%BA%A1nh/data=!4m7!3m6!1s0x31345f49dda5620b:0x8aa1066f507fbe95!8m2!3d21.1111574!4d105.4929927!16s%2Fg%2F11fy9l6g_j!19sChIJC2Kl3UlfNDERlb5_UG8GoYo?authuser=0&hl=en&rclk=1,Grocery store,3.2,9,,0983 093 633,"Đại Lý Minh Cạnh, 83 Sơn Lộc, P. Sơn Lộc, Sơn Tây, Hà Nội"
Siêu thị mini trường ngân,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+mini+tr%C6%B0%E1%BB%9Dng+ng%C3%A2n/data=!4m7!3m6!1s0x31345f211b6ece85:0xf610c9d8442ad770!8m2!3d21.1033273!4d105.494437!16s%2Fg%2F11h_ytd0l_!19sChIJhc5uGyFfNDERcNcqRNjJEPY?authuser=0&hl=en&rclk=1,Supermarket,4.7,3,,,"4F3V+8QM Siêu thị mini trường ngân, Unnamed Road, Trung Sơn Trầm, Sơn Tây, Hà Nội"
Siêu Thị Mart24h - Chi Nhánh Sơn Tây,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Mart24h+-+Chi+Nh%C3%A1nh+S%C6%A1n+T%C3%A2y/data=!4m7!3m6!1s0x314a7bc4d660e1ed:0x3e878a5b7dd971d7!8m2!3d21.1132458!4d105.4913415!16s%2Fg%2F11fslt3xr_!19sChIJ7eFg1sR7SjER13HZfVuKhz4?authuser=0&hl=en&rclk=1,Paper store,5,2,,0986 829 950,"Siêu Thị Mart24h - Chi Nhánh Sơn Tây, 1 P. Thanh Vị, Tông, Sơn Tây, Hà Nội 100000"
