title,link,main_category,rating,reviews,website,phone,address
Intimex Supermarket Lac Long Quan,https://www.google.com/maps/place/Intimex+Supermarket+Lac+Long+Quan/data=!4m7!3m6!1s0x3135ab1ed3474865:0x9a836b0e753773a4!8m2!3d21.0519121!4d105.809258!16s%2Fg%2F11c1qsqj58!19sChIJZUhH0x6rNTERpHM3dQ5rg5o?authuser=0&hl=en&rclk=1,Supermarket,4.1,634,,024 3942 3529,"Intimex Supermarket Lac Long Quan, 174 Đ. Lạc Long Quân, Bưởi, Tây Hồ, Hà Nội"
Siêu Thị Mini,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Mini/data=!4m7!3m6!1s0x3135aaf77e9b5395:0x85c938cf911b87e1!8m2!3d21.0680338!4d105.8257906!16s%2Fg%2F1hfgs9k05!19sChIJlVObfveqNTER4Ycbkc84yYU?authuser=0&hl=en&rclk=1,Hypermarket,,,,024 3719 9583,"Siêu Thị Mini, 4 Đ. Tô Ngọc Vân, Quảng An, Tây Hồ, Hà Nội"
Home Mart,https://www.google.com/maps/place/Home+Mart/data=!4m7!3m6!1s0x3135abfeee099cd7:0xd97bb754bc86f2a6!8m2!3d21.0444267!4d105.8142414!16s%2Fg%2F11h03993b8!19sChIJ15wJ7v6rNTERpvKGvFS3e9k?authuser=0&hl=en&rclk=1,Supermarket,,,https://home-mart-supermarket.business.site/?utm_source=gmb&utm_medium=referral,0912 473 388,"Home Mart, ngõ 295 Đ. Thụy Khuê, Thuỵ Khuê, Tây Hồ, Hà Nội"
LOTTE Mart West Lake,https://www.google.com/maps/place/LOTTE+Mart+West+Lake/data=!4m7!3m6!1s0x3135ab976ee4d26b:0xd99e913dac7532ef!8m2!3d21.0763015!4d105.8117286!16s%2Fg%2F11kqrqf4d4!19sChIJa9LkbperNTER7zJ1rD2Rntk?authuser=0&hl=en&rclk=1,Hypermarket,4.4,15,http://lottemart.com.vn/,0901 057 057,"LOTTE Mart West Lake, Tầng B1, LOTTE Mall, 272 Võ Chí Công, Quận Tây Hồ (Vào cổng 683 Lạc Long Quân, Hanoi City, Hà Nội 11200"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135aae0e42625b3:0x4a4f58d220a1b164!8m2!3d21.0618164!4d105.8079881!16s%2Fg%2F11g8ygnkvj!19sChIJsyUm5OCqNTERZLGhINJYT0o?authuser=0&hl=en&rclk=1,Supermarket,3.9,48,http://winmart.vn/,0975 201 490,"WinMart+, 35 Đ. Xuân La, Xuân La, Tây Hồ, Hà Nội"
Siêu Thị Tại Gia,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+T%E1%BA%A1i+Gia/data=!4m7!3m6!1s0x3135aadfd0785c97:0x631b3892ed6c5ff6!8m2!3d21.0603234!4d105.8049599!16s%2Fg%2F11j00sgz0k!19sChIJl1x40N-qNTER9l9s7ZI4G2M?authuser=0&hl=en&rclk=1,Grocery store,,,,,"Siêu Thị Tại Gia, 99 Đ. Võ Chí Công, Xuân La, Tây Hồ, Hà Nội 11206"
Cửa Hàng Tạp Hóa,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+T%E1%BA%A1p+H%C3%B3a/data=!4m7!3m6!1s0x3135aae8a55ade9f:0x380c375bc995515e!8m2!3d21.0698646!4d105.8106425!16s%2Fg%2F11c5sy78f5!19sChIJn95apeiqNTERXlGVyVs3DDg?authuser=0&hl=en&rclk=1,Department store,,,,0945 609 988,"Cửa Hàng Tạp Hóa, 110/20/40, Nguyễn Hoàng Tôn, Quận Tây Hồ, Thành Phố Hà Nội, Xuân La, Tây Hồ, Hà Nội"
Siêu Thị WonMart Xuân Diệu,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+WonMart+Xu%C3%A2n+Di%E1%BB%87u/data=!4m7!3m6!1s0x3135abc204965393:0xf2054fbc59e78f4a!8m2!3d21.0664826!4d105.8266349!16s%2Fg%2F11t3gp9f4z!19sChIJk1OWBMKrNTERSo_nWbxPBfI?authuser=0&hl=en&rclk=1,Supermarket,4.7,3,https://wonmarthanoi.vn/,0865 622 366,"Siêu Thị WonMart Xuân Diệu, 170A Đ. Xuân Diệu, Quảng An, Tây Hồ, Hà Nội 100000"
Eco Mart,https://www.google.com/maps/place/Eco+Mart/data=!4m7!3m6!1s0x3135ab782c56a553:0x36535df999033b54!8m2!3d21.0511257!4d105.8007368!16s%2Fg%2F11lgyg2bwn!19sChIJU6VWLHirNTERVDsDmfldUzY?authuser=0&hl=en&rclk=1,Supermarket,2.3,3,,0979 670 766,"Eco Mart, Tầng 1, Tòa nhà Ecolife Tây Hồ, đường p. Q, Đ. Võ Chí Công, Xuân La, Tây Hồ, Hà Nội 100000"
L's Place Xuân Diệu,https://www.google.com/maps/place/L%27s+Place+Xu%C3%A2n+Di%E1%BB%87u/data=!4m7!3m6!1s0x3135aa542ec6d051:0xa284c7cd9c632e2b!8m2!3d21.0608107!4d105.8325175!16s%2Fg%2F1tn0389k!19sChIJUdDGLlSqNTERKy5jnM3HhKI?authuser=0&hl=en&rclk=1,Supermarket,4.3,242,https://lsplace.com.vn/,024 3719 9911,"L's Place Xuân Diệu, 1 Đ. Xuân Diệu, Quảng An, Tây Hồ, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135ab1efb215f03:0xc46727b9409e9723!8m2!3d21.0543829!4d105.8090127!16s%2Fg%2F11j99f760t!19sChIJA18h-x6rNTERI5eeQLknZ8Q?authuser=0&hl=en&rclk=1,Supermarket,4,31,,024 7106 6866,"WinMart+, 250 Đ. Lạc Long Quân, Bưởi, Tây Hồ, Hà Nội 11211"
Siêu thị Tmart Âu Cơ,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+Tmart+%C3%82u+C%C6%A1/data=!4m7!3m6!1s0x3135aaf9a838d74d:0x269ad7abaf6bbed!8m2!3d21.0625079!4d105.8324044!16s%2Fg%2F11f15k9qyb!19sChIJTdc4qPmqNTER7bv2unqtaQI?authuser=0&hl=en&rclk=1,Supermarket,4.1,126,,1900 6446,"Siêu thị Tmart Âu Cơ, 112 Đ. Âu Cơ, Tứ Liên, Tây Hồ, Hà Nội 100000"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135aafa1a551889:0x895ecea7902234bc!8m2!3d21.0671185!4d105.8226902!16s%2Fg%2F11jcj92p67!19sChIJiRhVGvqqNTERvDQikKfOXok?authuser=0&hl=en&rclk=1,Supermarket,4.1,14,http://winmart.vn/,024 7106 6866,"WinMart+, 16 Ng. 67 Đ. Tô Ngọc Vân, Quảng An, Tây Hồ, Hà Nội 11207"
WinMart,https://www.google.com/maps/place/WinMart/data=!4m7!3m6!1s0x3135aaf8837f5ccf:0xfee73ff007eddfe2!8m2!3d21.0641471!4d105.8280588!16s%2Fg%2F1hc27m3qv!19sChIJz1x_g_iqNTER4t_tB_A_5_4?authuser=0&hl=en&rclk=1,Supermarket,4.2,422,http://winmart.vn/,024 7106 6866,"WinMart, 51 Đ. Xuân Diệu, Quảng An, Tây Hồ, Hà Nội"
Tây Hồ mart,https://www.google.com/maps/place/T%C3%A2y+H%E1%BB%93+mart/data=!4m7!3m6!1s0x3135aa56f8033417:0x82e6c1d4d2c09187!8m2!3d21.0636236!4d105.8321021!16s%2Fg%2F11dxqklfjl!19sChIJFzQD-FaqNTERh5HA0tTB5oI?authuser=0&hl=en&rclk=1,Supermarket,5,3,,0913 103 552,"Tây Hồ mart, 136A Đ. Âu Cơ, Tứ Liên, Tây Hồ, Hà Nội"
Ciputra Mart & Farm,https://www.google.com/maps/place/Ciputra+Mart+%26+Farm/data=!4m7!3m6!1s0x3135abfb9d199819:0xb7a57b9f752f118a!8m2!3d21.0735416!4d105.8088543!16s%2Fg%2F11v05l0drh!19sChIJGZgZnfurNTERihEvdZ97pbc?authuser=0&hl=en&rclk=1,Supermarket,5,2,,,"3RF5+CG9 Ciputra Mart & Farm, Khu đô thị Ciputra, Tây Hồ, Hà Nội"
Sedona Minimart,https://www.google.com/maps/place/Sedona+Minimart/data=!4m7!3m6!1s0x3135ab8aa80a3595:0x26c142461436ec91!8m2!3d21.0661105!4d105.8262603!16s%2Fg%2F11h9bk1x3j!19sChIJlTUKqIqrNTERkew2FEZCwSY?authuser=0&hl=en&rclk=1,Supermarket,4.8,31,https://www.facebook.com/Sedona-Minimart-106225630875996/,024 3718 5395,"Sedona Minimart, 3 Đ. Tây Hồ, Quảng An, Tây Hồ, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135ab194e6fec71:0xdcac2f4627748ea0!8m2!3d21.0513846!4d105.8104781!16s%2Fg%2F11jcs2_9lc!19sChIJcexvThmrNTERoI50J0YvrNw?authuser=0&hl=en&rclk=1,Supermarket,4.3,25,,024 7106 6866,"WinMart+, 33 P. Võng Thị, Bưởi, Tây Hồ, Hà Nội 11211"
Siêu thị T mart 59 xuân la,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+T+mart+59+xu%C3%A2n+la/data=!4m7!3m6!1s0x3135ab3319a3ee8b:0x28ec168e462b7c39!8m2!3d21.0625382!4d105.8074852!16s%2Fg%2F11j8xh5p69!19sChIJi-6jGTOrNTEROXwrRo4W7Cg?authuser=0&hl=en&rclk=1,Store,3.6,13,,,"Siêu thị T mart 59 xuân la, 59, Tây Hồ, Hà Nội"
VinMart+,https://www.google.com/maps/place/VinMart%2B/data=!4m7!3m6!1s0x3135aa8d3e4b03af:0x7c88bcb8a6618999!8m2!3d21.0812969!4d105.8189149!16s%2Fg%2F11jcj8k3m6!19sChIJrwNLPo2qNTERmYlhpri8iHw?authuser=0&hl=en&rclk=1,Supermarket,4,20,,024 7106 6866,"VinMart+, 5 Ngõ 464 Âu Cơ, Phú Thượng, Tây Hồ, Hà Nội 11209"
