title,link,main_category,rating,reviews,website,phone,address
Siêu Thị Gia Hưng,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Gia+H%C6%B0ng/data=!4m7!3m6!1s0x3135b36b5b576975:0x76dc1eabae5f2ffc!8m2!3d20.8479433!4d105.8106763!16s%2Fg%2F11cs709ccl!19sChIJdWlXW2uzNTER_C9frqse3HY?authuser=0&hl=en&rclk=1,Supermarket,4,13,,024 3397 4828,"Siêu Thị Gia Hưng, Unnamed Road,, Thanh Văn, Thanh Oai, Hà Nội"
Siêu thi Minh Chi CS2,https://www.google.com/maps/place/Si%C3%AAu+thi+Minh+Chi+CS2/data=!4m7!3m6!1s0x31344da4b0b1c567:0x8d267b86bf219d2e!8m2!3d20.8998933!4d105.7497607!16s%2Fg%2F11jkt0j_ms!19sChIJZ8WxsKRNNDERLp0hv4Z7Jo0?authuser=0&hl=en&rclk=1,Supermarket,4.1,7,,0983 041 484,"VPXX+XW2 Siêu thi Minh Chi CS2, thôn Trung, Thanh Oai, Hà Nội"
Bách hóa tổng hợp,https://www.google.com/maps/place/B%C3%A1ch+h%C3%B3a+t%E1%BB%95ng+h%E1%BB%A3p/data=!4m7!3m6!1s0x3135adee137a69fd:0x878d76689215206a!8m2!3d20.9548526!4d105.8102614!16s%2Fg%2F11fmq9yhc9!19sChIJ_Wl6E-6tNTERaiAVkmh2jYc?authuser=0&hl=en&rclk=1,Department store,,,,,"XR36+W4R Bách hóa tổng hợp, Đ. Tả Thanh Oai, Tả Thanh Oai, Thanh Trì, Hà Nội"
Siêu thị TÂM MART,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+T%C3%82M+MART/data=!4m7!3m6!1s0x31344b2f76af3827:0x904522023115a274!8m2!3d20.8130931!4d105.7601062!16s%2Fg%2F11fn7908h6!19sChIJJzivdi9LNDERdKIVMQIiRZA?authuser=0&hl=en&rclk=1,Supermarket,4.9,9,,0978 212 987,"Siêu thị TÂM MART, Số nhà 77, Thôn Mới, Cao Dương, Thanh Oai, Hà Nội"
Qmart Thanh Hà 1,https://www.google.com/maps/place/Qmart+Thanh+H%C3%A0+1/data=!4m7!3m6!1s0x3135ad56f8f84fa9:0x48617bfcca9a7ace!8m2!3d20.9386245!4d105.7875225!16s%2Fg%2F11fkl983dm!19sChIJqU_4-FatNTERznqayvx7YUg?authuser=0&hl=en&rclk=1,Supermarket,,,,,"Qmart Thanh Hà 1, Ki ốt số 48/50/52 Tòa HH 01B KĐT, Thanh Hà, Thanh Oai, Hà Nội"
Cửa Hàng Tạp Hóa Toàn Chinh,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+T%E1%BA%A1p+H%C3%B3a+To%C3%A0n+Chinh/data=!4m7!3m6!1s0x31344d5ef253346d:0x7fcaeb7e14eece3a!8m2!3d20.9189538!4d105.7620764!16s%2Fg%2F1pzs5kryr!19sChIJbTRT8l5NNDEROs7uFH7ryn8?authuser=0&hl=en&rclk=1,Department store,3.2,5,,024 3397 7265,"Cửa Hàng Tạp Hóa Toàn Chinh, 62, Quốc Lộ 21B, Thôn Thạch Bích, Xã Bích Hòa, Huyện Thanh Oai, Bích Hoà, Thanh Oai, Hà Nội"
Nội thất Thanh Hà,https://www.google.com/maps/place/N%E1%BB%99i+th%E1%BA%A5t+Thanh+H%C3%A0/data=!4m7!3m6!1s0x3135ad4fb9112709:0x3e25528a80125601!8m2!3d20.9326478!4d105.791533!16s%2Fg%2F11fzf8kktq!19sChIJCScRuU-tNTERAVYSgIpSJT4?authuser=0&hl=en&rclk=1,Supermarket,4.1,17,,0988 290 486,"WQMR+3J3 Nội thất Thanh Hà, Cự Khê, Thanh Oai, Hà Nội"
Minh Chi Super Market,https://www.google.com/maps/place/Minh+Chi+Super+Market/data=!4m7!3m6!1s0x3135b2d206cffe19:0x3524dcb8de6f972b!8m2!3d20.8857705!4d105.7875144!16s%2Fg%2F11g9qf3ks_!19sChIJGf7PBtKyNTERK5dv3rjcJDU?authuser=0&hl=en&rclk=1,Supermarket,4.2,32,,0985 271 796,"VQPQ+822 Minh Chi Super Market, Xóm Đình, Thanh Oai, Hà Nội"
Cửa Hàng Tạp Hóa Vi - Hòa,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+T%E1%BA%A1p+H%C3%B3a+Vi+-+H%C3%B2a/data=!4m7!3m6!1s0x3135ad17743631e5:0x639e629fca6136af!8m2!3d20.9522713!4d105.8086603!16s%2Fg%2F11btrr0vwc!19sChIJ5TE2dBetNTERrzZhyp9inmM?authuser=0&hl=en&rclk=1,Department store,5,1,,,"Cửa Hàng Tạp Hóa Vi - Hòa, 91 Đ. Tả Thanh Oai, Tả Thanh Oai, Thanh Trì, Hà Nội"
Vinmart+,https://www.google.com/maps/place/Vinmart%2B/data=!4m7!3m6!1s0x31344db6090f30a7:0x7846080cbcc92fb0!8m2!3d20.9170838!4d105.764487!16s%2Fg%2F11hy_qggdk!19sChIJpzAPCbZNNDERsC_JvAwIRng?authuser=0&hl=en&rclk=1,Supermarket,,,,,"WQ87+RQQ Vinmart+, Bích Hoà, Thanh Oai, Hà Nội"
VinMart+,https://www.google.com/maps/place/VinMart%2B/data=!4m7!3m6!1s0x31344d5e1ee420d9:0x6286eeb4ff2d3477!8m2!3d20.9188211!4d105.7590567!16s%2Fg%2F11jnxxf450!19sChIJ2SDkHl5NNDERdzQt_7TuhmI?authuser=0&hl=en&rclk=1,Supermarket,4,1,,024 7106 6866,"VinMart+, 190, Thạch Bích, Thanh Oai, Hà Nội 13514"
Cửa Hàng Tạp Hóa Hợp Thành,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+T%E1%BA%A1p+H%C3%B3a+H%E1%BB%A3p+Th%C3%A0nh/data=!4m7!3m6!1s0x31344d3c07ac8bed:0x9bd9c164135a6c65!8m2!3d20.8931141!4d105.7640437!16s%2Fg%2F11b7stl3k8!19sChIJ7YusBzxNNDERZWxaE2TB2Zs?authuser=0&hl=en&rclk=1,Department store,,,,024 3387 6269,"VQV7+6JV Cửa Hàng Tạp Hóa Hợp Thành, P. Bình Đà, Bình Minh, Thanh Oai, Hà Nội"
VinMart+,https://www.google.com/maps/place/VinMart%2B/data=!4m7!3m6!1s0x3135ad862f6c99c5:0x31ea9b03d9cee141!8m2!3d20.930357!4d105.788681!16s%2Fg%2F11jdj8p6lp!19sChIJxZlsL4atNTERQeHO2QOb6jE?authuser=0&hl=en&rclk=1,Supermarket,5,2,,024 7106 6866,"VinMart+, Ki ốt số: 54-56. tầng 1. tòa nhà B1.4-HH02-2C. Khu đô thị Thanh Hà - Cienco5, Thanh Oai, Hà Nội 13513"
Vinmart+ Thôn Chằm,https://www.google.com/maps/place/Vinmart%2B+Th%C3%B4n+Ch%E1%BA%B1m/data=!4m7!3m6!1s0x31344d3c1bccb1a1:0xeea3e6e781fedfba!8m2!3d20.8913854!4d105.7653155!16s%2Fg%2F11jg8clbxn!19sChIJobHMGzxNNDERut_-gefmo-4?authuser=0&hl=en&rclk=1,Supermarket,4.2,14,,,"Vinmart+ Thôn Chằm, 37 thôn Chợ, Xóm chợ Bình Đà, Thanh Oai, Hà Nội"
