title,link,main_category,rating,reviews,website,phone,address
Supermarket Megaplaza,https://www.google.com/maps/place/Supermarket+Megaplaza/data=!4m7!3m6!1s0x3135b275507d6323:0x5d7f317000c67d10!8m2!3d20.9143236!4d105.8519426!16s%2Fg%2F11bbrjz_14!19sChIJI2N9UHWyNTEREH3GAHAxf10?authuser=0&hl=en&rclk=1,Supermarket,3.9,305,https://megaplaza.com.vn/,0934 504 286,"Supermarket Megaplaza, Khu công nghiệp Ngọc Hồi, Thanh Trì, Hà Nội, Hà Nội"
Siêu Thị D-Mart,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+D-Mart/data=!4m7!3m6!1s0x3135ad07f0ab5751:0xda9ce1879a7b1398!8m2!3d20.9562951!4d105.8421062!16s%2Fg%2F11h4c07sxc!19sChIJUVer8AetNTERmBN7mofhnNo?authuser=0&hl=en&rclk=1,Supermarket,3.9,7,,0972 118 418,"Siêu Thị D-Mart, Số 22 Ng. 148 Đ. Ngọc Hồi, Văn Điển, Thanh Trì, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135ad71a1aedc1d:0xcea073193d0c4962!8m2!3d20.9688503!4d105.8234906!16s%2Fg%2F11fklm6sf4!19sChIJHdyuoXGtNTERYkkMPRlzoM4?authuser=0&hl=en&rclk=1,Supermarket,4.3,24,,,"WinMart+, 532 Đ. Kim Giang, Thanh Liệt, Thanh Trì, Hà Nội"
Cửa Hàng Tạp Hóa Thanh Hường,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+T%E1%BA%A1p+H%C3%B3a+Thanh+H%C6%B0%E1%BB%9Dng/data=!4m7!3m6!1s0x3135adbcc4249429:0x7cd9986773a56dd5!8m2!3d20.9427015!4d105.8417089!16s%2Fg%2F11bccm5szg!19sChIJKZQkxLytNTER1W2lc2eY2Xw?authuser=0&hl=en&rclk=1,Department store,,,,,"Cửa Hàng Tạp Hóa Thanh Hường, 26 Đ. Vĩnh Quỳnh, Văn Điển, Thanh Trì, Hà Nội"
BBM Phan Trọng Tuệ,https://www.google.com/maps/place/BBM+Phan+Tr%E1%BB%8Dng+Tu%E1%BB%87/data=!4m7!3m6!1s0x3135ad1891777009:0x480fe6ac345101b5!8m2!3d20.9578698!4d105.8061432!16s%2Fg%2F11hczwndq9!19sChIJCXB3kRitNTERtQFRNKzmD0g?authuser=0&hl=en&rclk=1,Supermarket,5,1,http://www.bibomart.com.vn/,0984 968 795,"BBM Phan Trọng Tuệ, 55 TDP CẦU BƯƠU (Đối diện CT8A, Đại Thành, Hà Nội"
Hệ Thống Siêu Thị Thành Đô,https://www.google.com/maps/place/H%E1%BB%87+Th%E1%BB%91ng+Si%C3%AAu+Th%E1%BB%8B+Th%C3%A0nh+%C4%90%C3%B4/data=!4m7!3m6!1s0x3135ad19c26cf017:0xdf6fd977dadcf3d1!8m2!3d20.9543659!4d105.8098643!16s%2Fg%2F11b7swvs8j!19sChIJF_BswhmtNTER0fPc2nfZb98?authuser=0&hl=en&rclk=1,Grocery store,3.9,66,,,"Hệ Thống Siêu Thị Thành Đô, 25 Đ. Tả Thanh Oai, Tả Thanh Oai, Thanh Trì, Hà Nội"
Siêu Thị Bt Mart,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Bt+Mart/data=!4m7!3m6!1s0x3135ad8aab09b8cb:0x164cb570dd29f7b0!8m2!3d20.9147537!4d105.8520864!16s%2Fg%2F11btrqv6c9!19sChIJy7gJq4qtNTERsPcp3XC1TBY?authuser=0&hl=en&rclk=1,Grocery store,,,,,"WV72+WR4 Siêu Thị Bt Mart, Ngọc Hồi, Thanh Trì, Hà Nội"
Điện Máy Media Mart Xa La,https://www.google.com/maps/place/%C4%90i%E1%BB%87n+M%C3%A1y+Media+Mart+Xa+La/data=!4m7!3m6!1s0x3135ad2143b58599:0x52ee39f4ea97173f!8m2!3d20.9615679!4d105.7990147!16s%2Fg%2F11bxd838fq!19sChIJmYW1QyGtNTERPxeX6vQ57lI?authuser=0&hl=en&rclk=1,Electronics store,3.6,344,,0936 004 226,"Điện Máy Media Mart Xa La, 32 Đ. Cầu Bươu, Tân Triều, Thanh Trì, Hà Nội"
Siêu thị Cầu Bươu,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+C%E1%BA%A7u+B%C6%B0%C6%A1u/data=!4m7!3m6!1s0x3135ad6b661e1e53:0x106bd3025247d727!8m2!3d20.9548377!4d105.8104829!16s%2Fg%2F11tx_rzcmk!19sChIJUx4eZmutNTERJ9dHUgLTaxA?authuser=0&hl=en&rclk=1,Supermarket,,,,,"Siêu thị Cầu Bươu, 18 Đ. Tả Thanh Oai, Tả Thanh Oai, Thanh Trì, Hà Nội"
VinMart+,https://www.google.com/maps/place/VinMart%2B/data=!4m7!3m6!1s0x3135adf8db8cfeed:0x78dbcb227ee5e38c!8m2!3d20.915393!4d105.8691281!16s%2Fg%2F11j99jg4pw!19sChIJ7f6M2_itNTERjOPlfiLL23g?authuser=0&hl=en&rclk=1,Supermarket,4.3,94,,024 7106 6866,"VinMart+, Số 129 Đ. Đông Mỹ, Đông Mỹ, Thanh Trì, Hà Nội 12518"
TMART ĐẠI THANH,https://www.google.com/maps/place/TMART+%C4%90%E1%BA%A0I+THANH/data=!4m7!3m6!1s0x3135ad185d354473:0x1d2572025d5fde11!8m2!3d20.9558059!4d105.8071182!16s%2Fg%2F11bw7cvy2c!19sChIJc0Q1XRitNTEREd5fXQJyJR0?authuser=0&hl=en&rclk=1,Supermarket,3.9,113,,1900 6446,"TMART ĐẠI THANH, 24 Đ. Cầu Bươu, Tả Thanh Oai, Thanh Trì, Hà Nội"
Siêu Thị Vitamin Chính Hãng,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Vitamin+Ch%C3%ADnh+H%C3%A3ng/data=!4m7!3m6!1s0x3135afa07f1b143d:0xc3f9ab340b5bb940!8m2!3d20.9959159!4d105.8857538!16s%2Fg%2F11kjpc9m6b!19sChIJPRQbf6CvNTERQLlbCzSr-cM?authuser=0&hl=en&rclk=1,Variety store,,,https://www.facebook.com/sieuthivitaminchemist,0974 142 013,"Siêu Thị Vitamin Chính Hãng, 194 Thanh Đàm, Thanh Trì, Hoàng Mai, Hà Nội 10000"
Vinmart+ CT13 KĐTM Tứ Hiệp,https://www.google.com/maps/place/Vinmart%2B+CT13+K%C4%90TM+T%E1%BB%A9+Hi%E1%BB%87p/data=!4m7!3m6!1s0x3135ad4f5e86d4b1:0x11d778df30028f77!8m2!3d20.9508454!4d105.8530244!16s%2Fg%2F11rxv2pn6p!19sChIJsdSGXk-tNTERd48CMN941xE?authuser=0&hl=en&rclk=1,Supermarket,5,1,,0963 841 100,"Vinmart+ CT13 KĐTM Tứ Hiệp, Kiot 103 Ct13 KĐTM, Tứ Hiệp, Thanh Trì, Hà Nội"
Siêu Thị Điện Máy Xanh Tại Huyện Thanh Trì,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+%C4%90i%E1%BB%87n+M%C3%A1y+Xanh+T%E1%BA%A1i+Huy%E1%BB%87n+Thanh+Tr%C3%AC/data=!4m7!3m6!1s0x3135ad8cd80b79e3:0x5597f086f67f4022!8m2!3d20.9233!4d105.8517!16s%2Fg%2F11mn186884!19sChIJ43kL2IytNTERIkB_9obwl1U?authuser=0&hl=en&rclk=1,Electrical supply store,,,,,"WVF2+8M8 Siêu Thị Điện Máy Xanh Tại Huyện Thanh Trì, Thôn, Ngọc Hồi, Thanh Trì, Hà Nội"
Win mart,https://www.google.com/maps/place/Win+mart/data=!4m7!3m6!1s0x3135ad3ac1be6f49:0xbbeca071128ac075!8m2!3d20.9361056!4d105.850486!16s%2Fg%2F11v9y429rv!19sChIJSW--wTqtNTERdcCKEnGg7Ls?authuser=0&hl=en&rclk=1,Supermarket,,,,,"Win mart, Lô TT3-38-39, Khu Đấu Giá, Thanh Trì, Hà Nội"
Cửa Hàng Tự Chọn Thanh Hoa,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+T%E1%BB%B1+Ch%E1%BB%8Dn+Thanh+Hoa/data=!4m7!3m6!1s0x3135adb1e06d7467:0xa6eaf2ee1497ec4d!8m2!3d20.9548302!4d105.840871!16s%2Fg%2F11btrrc8jn!19sChIJZ3Rt4LGtNTERTeyXFO7y6qY?authuser=0&hl=en&rclk=1,Grocery store,,,,0983 440 353,"Cửa Hàng Tự Chọn Thanh Hoa, 88 Đ. Tựu Liệt, Văn Điển, Thanh Trì, Hà Nội"
siêu thị Hmart Ngọc Hồi,https://www.google.com/maps/place/si%C3%AAu+th%E1%BB%8B+Hmart+Ng%E1%BB%8Dc+H%E1%BB%93i/data=!4m7!3m6!1s0x3135adf0c08cf6d9:0xe5cd3596c79078a4!8m2!3d20.9182821!4d105.843708!16s%2Fg%2F11rqn9837_!19sChIJ2faMwPCtNTERpHiQx5Y1zeU?authuser=0&hl=en&rclk=1,Grocery store,,,,,"WR9V+8F8 siêu thị Hmart Ngọc Hồi, Ngọc Hồi, Thanh Trì, Hà Nội"
Siêu thị DLY MART,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+DLY+MART/data=!4m7!3m6!1s0x3135ad049c435919:0xda8a7278c2392a9a!8m2!3d20.9682638!4d105.792933!16s%2Fg%2F11sdwf16hk!19sChIJGVlDnAStNTERmio5wnhyito?authuser=0&hl=en&rclk=1,Convenience store,,,,0356 664 904,"Siêu thị DLY MART, Sảnh 2 CT1 Chung cư Viện 103, Tân Triều, Thanh Trì, Hà Nội"
