title,link,main_category,rating,reviews,website,phone,address
Siêu Thị Thành Đô,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Th%C3%A0nh+%C4%90%C3%B4/data=!4m7!3m6!1s0x3135ac9c30221d0f:0x44b09096ebe8b5ce!8m2!3d21.0075105!4d105.8124472!16s%2Fg%2F11btrscnwl!19sChIJDx0iMJysNTERzrXo65aQsEQ?authuser=0&hl=en&rclk=1,Supermarket,3.8,161,,024 6653 6706,"Siêu Thị Thành Đô, 23 P. Quan Nhân, Nhân Chính, Thanh Xuân, Hà Nội"
Tops Market Lê Trọng Tấn,https://www.google.com/maps/place/Tops+Market+L%C3%AA+Tr%E1%BB%8Dng+T%E1%BA%A5n/data=!4m7!3m6!1s0x3135ac879cd0b35d:0xcfc890bd453ab461!8m2!3d20.9996882!4d105.8283506!16s%2Fg%2F11c5t38s6s!19sChIJXbPQnIesNTERYbQ6Rb2QyM8?authuser=0&hl=en&rclk=1,Supermarket,4.1,3686,https://topsmarket.vn/,024 3200 6033,"Tops Market Lê Trọng Tấn, 3 P. Lê Trọng Tấn, Khương Mai, Thanh Xuân, Hà Nội 100000"
WinMart,https://www.google.com/maps/place/WinMart/data=!4m7!3m6!1s0x3135ac9ac1a8783f:0xcb72f9a07b2671dd!8m2!3d21.0033786!4d105.8162011!16s%2Fg%2F1pzr5h0_n!19sChIJP3iowZqsNTER3XEme6D5css?authuser=0&hl=en&rclk=1,Supermarket,4.3,902,http://winmart.vn/,024 6664 0567,"WinMart, 72A Nguyễn Trãi, Thượng Đình, Thanh Xuân, Hà Nội"
Siêu thị T Mart,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+T+Mart/data=!4m7!3m6!1s0x3135acbecad60de9:0x2b0272294b3b3bb6!8m2!3d20.9934774!4d105.799566!16s%2Fg%2F12mj_ry51!19sChIJ6Q3Wyr6sNTERtjs7SylyAis?authuser=0&hl=en&rclk=1,Supermarket,3.9,104,,1900 6446,"Siêu thị T Mart, 101 Nguyễn Quý Đức, Thanh Xuân Bắc, Thanh Xuân, Hà Nội"
Siêu Thị Vân Anh,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+V%C3%A2n+Anh/data=!4m7!3m6!1s0x313455318d89d31f:0xd833a0bb784a262d!8m2!3d20.995698!4d105.8163208!16s%2Fg%2F1ptzzm1h0!19sChIJH9OJjTFVNDERLSZKeLugM9g?authuser=0&hl=en&rclk=1,Supermarket,3.9,36,https://sieuthivananh.com.vn/,024 7300 7779,"Siêu Thị Vân Anh, Số 69 Ng. 132 P. Khương Trung, Khương Trung, Thanh Xuân, Hà Nội 100000"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135ad844a0b5b67:0x1d890871c9b02e98!8m2!3d21.006814!4d105.811884!16s%2Fg%2F11fmrmd2l6!19sChIJZ1sLSoStNTERmC6wyXEIiR0?authuser=0&hl=en&rclk=1,Supermarket,4.2,53,,024 7106 6866,"WinMart+, 86 P. Quan Nhân, Nhân Chính, Thanh Xuân, Hà Nội 11415"
Siêu Thị V Mart,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+V+Mart/data=!4m7!3m6!1s0x3135ac85681ed293:0xa0720c31f7450be8!8m2!3d20.9996613!4d105.8187289!16s%2Fg%2F1tfpx9_l!19sChIJk9IeaIWsNTER6AtF9zEMcqA?authuser=0&hl=en&rclk=1,Supermarket,3,1,,0915 537 627,"Siêu Thị V Mart, 59 P.Khương Trung, Khương Trung, Thanh Xuân, Hà Nội"
Meta Home - Thực Phẩm Và Hàng Tiêu Dùng,https://www.google.com/maps/place/Meta+Home+-+Th%E1%BB%B1c+Ph%E1%BA%A9m+V%C3%A0+H%C3%A0ng+Ti%C3%AAu+D%C3%B9ng/data=!4m7!3m6!1s0x3135ad13fd571e1f:0xc423e9663f09b720!8m2!3d20.9909289!4d105.8006997!16s%2Fg%2F11jz1k2swt!19sChIJHx5X_ROtNTERILcJP2bpI8Q?authuser=0&hl=en&rclk=1,Organic food store,5,1,,0981 875 225,"Meta Home - Thực Phẩm Và Hàng Tiêu Dùng, 101C18 Nguyễn Quý Đức Hà Nội Hanoi City, 100000"
Siêu thị pico 76 nguyễn trãi,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+pico+76+nguy%E1%BB%85n+tr%C3%A3i/data=!4m7!3m6!1s0x3135ad784f89ef01:0x38540c4109892628!8m2!3d21.0004566!4d105.8154835!16s%2Fg%2F11n11_nqh2!19sChIJAe-JT3itNTERKCaJCUEMVDg?authuser=0&hl=en&rclk=1,Supermarket,3,2,,,"Siêu thị pico 76 nguyễn trãi, 76 QL6, Thượng Đình, Thanh Xuân, Hà Nội"
Phê Mart - 44 Nguyễn Huy Tưởng,https://www.google.com/maps/place/Ph%C3%AA+Mart+-+44+Nguy%E1%BB%85n+Huy+T%C6%B0%E1%BB%9Fng/data=!4m7!3m6!1s0x3135ad915c8e8757:0xb91bfc7864ddd589!8m2!3d20.9993828!4d105.8071425!16s%2Fg%2F11q8gyrcpq!19sChIJV4eOXJGtNTERidXdZHj8G7k?authuser=0&hl=en&rclk=1,Supermarket,,,,,"Phê Mart - 44 Nguyễn Huy Tưởng, 44 Nguyễn Huy Tưởng, Thanh Xuân Trung, Thanh Xuân, Hà Nội"
Siêu Thị Mini Khánh Lựu,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Mini+Kh%C3%A1nh+L%E1%BB%B1u/data=!4m7!3m6!1s0x3135acb971320d95:0x5ca7ce74cda24514!8m2!3d20.9941985!4d105.7974187!16s%2Fg%2F11c6w0hmb6!19sChIJlQ0ycbmsNTERFEWizXTOp1w?authuser=0&hl=en&rclk=1,Supermarket,3,1,,024 6683 7358,"Siêu Thị Mini Khánh Lựu, P211 A2, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Thành Phố Hà Nội, Thanh Xuân Bắc, Thanh Xuân, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135acc0a1d37239:0x83a5eeaed6f94549!8m2!3d20.988766!4d105.801121!16s%2Fg%2F11c0xsly0b!19sChIJOXLTocCsNTERSUX51q7upYM?authuser=0&hl=en&rclk=1,Supermarket,4.4,17,http://winmart.vn/,024 7106 6866,"WinMart+, Số 30C. Ngõ 477, đường Đ. Nguyễn Trãi, Thanh Xuân Nam, Thanh Xuân, Hà Nội 11407"
Siêu thị SAKURA Thanh Xuân,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+SAKURA+Thanh+Xu%C3%A2n/data=!4m7!3m6!1s0x3135adcd1f51a30f:0x545523f1e6c3880d!8m2!3d20.9895181!4d105.8000165!16s%2Fg%2F11t1m8wspc!19sChIJD6NRH82tNTERDYjD5vEjVVQ?authuser=0&hl=en&rclk=1,Supermarket,5,6,https://sieuthisakura.com/,0965 725 872,"Siêu thị SAKURA Thanh Xuân, 590 Đ. Nguyễn Trãi, Thanh Xuân Bắc, Thanh Xuân, Hà Nội 10000"
VM + G9 Thanh Xuân Nam,https://www.google.com/maps/place/VM+%2B+G9+Thanh+Xu%C3%A2n+Nam/data=!4m7!3m6!1s0x3135ad090bb068e5:0xe18b1de04b1eb76a!8m2!3d20.9878142!4d105.7993309!16s%2Fg%2F11ftmkxb12!19sChIJ5WiwCwmtNTERarceS-Adi-E?authuser=0&hl=en&rclk=1,Supermarket,,,,,"VM + G9 Thanh Xuân Nam, 14 Ng. 495 Đ. Nguyễn Trãi, Thanh Xuân Nam, Thanh Xuân, Hà Nội"
