title,link,main_category,rating,reviews,website,phone,address
MediaMart Thường Tín,https://www.google.com/maps/place/MediaMart+Th%C6%B0%E1%BB%9Dng+T%C3%ADn/data=!4m7!3m6!1s0x3135b3d486d1e12f:0x673324cc33d37a77!8m2!3d20.8737474!4d105.8635693!16s%2Fg%2F11tp34b1wx!19sChIJL-HRhtSzNTERd3rTM8wkM2c?authuser=0&hl=en&rclk=1,Supermarket,,,http://mediamart.vn/,0906 263 884,"MediaMart Thường Tín, 114 Phố Ga, Bình Vọng, Thường Tín, Hà Nội"
Siêu thị Điện Máy Media Mart,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+%C4%90i%E1%BB%87n+M%C3%A1y+Media+Mart/data=!4m7!3m6!1s0x3135b231ff191229:0x7e762141b7514927!8m2!3d20.8730562!4d105.8639999!16s%2Fg%2F11kpq_4m32!19sChIJKRIZ_zGyNTERJ0lRt0Ehdn4?authuser=0&hl=en&rclk=1,Electronics store,,,https://mediamart.vn/he-thong-sieu-thi,0906 263 884,"Siêu thị Điện Máy Media Mart, 124 Phố Ga, TT. Thường Tín, Thường Tín, Hà Nội"
Cửa hàng tạp hoá Huệ Khoát,https://www.google.com/maps/place/C%E1%BB%ADa+h%C3%A0ng+t%E1%BA%A1p+ho%C3%A1+Hu%E1%BB%87+Kho%C3%A1t/data=!4m7!3m6!1s0x3135b32d2cc89753:0x71920f9861927e27!8m2!3d20.868735!4d105.8622638!16s%2Fg%2F11h6n9_hlh!19sChIJU5fILC2zNTERJ36SYZgPknE?authuser=0&hl=en&rclk=1,Grocery store,4,2,,,"Cửa hàng tạp hoá Huệ Khoát, 110 P. Nguyễn Phi Khanh, TT. Thường Tín, Thường Tín, Hà Nội"
Supermarket Long Binh Plaza,https://www.google.com/maps/place/Supermarket+Long+Binh+Plaza/data=!4m7!3m6!1s0x3135b22c19530915:0x168fd1cce2233638!8m2!3d20.8720831!4d105.869151!16s%2Fg%2F11c75sy7y8!19sChIJFQlTGSyyNTERODYj4szRjxY?authuser=0&hl=en&rclk=1,Shopping mall,4.1,512,http://longbinhplaza.vn/,024 3915 8866,"VVC9+QPJ Supermarket Long Binh Plaza, Khu Cầu Dừa, Thường Tín, Hà Nội 100000"
Supermarket Lan Chi,https://www.google.com/maps/place/Supermarket+Lan+Chi/data=!4m7!3m6!1s0x3135b22a3ce3e0b9:0xf3c2826bbbe323aa!8m2!3d20.8706038!4d105.8740152!16s%2Fg%2F1hf3gn1r6!19sChIJueDjPCqyNTERqiPju2uCwvM?authuser=0&hl=en&rclk=1,Supermarket,3.9,713,http://lanchi.vn/,0916 603 888,"VVCF+6JR Supermarket Lan Chi, Đ. Trấn Nhật Duật, Hà Hồi, Thường Tín, Hà Nội"
Cửa Hàng Tạp Hóa Nam Dương,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+T%E1%BA%A1p+H%C3%B3a+Nam+D%C6%B0%C6%A1ng/data=!4m7!3m6!1s0x3135b231f8a152a5:0x23cc2038bc2113f7!8m2!3d20.8729299!4d105.8639261!16s%2Fg%2F1jkvv595x!19sChIJpVKh-DGyNTER9xMhvDggzCM?authuser=0&hl=en&rclk=1,Department store,,,,,"Cửa Hàng Tạp Hóa Nam Dương, 124 Phố Ga, TT. Thường Tín, Thường Tín, Hà Nội"
Siêu thị Điện máy XANH Thường Tín,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+%C4%90i%E1%BB%87n+m%C3%A1y+XANH+Th%C6%B0%E1%BB%9Dng+T%C3%ADn/data=!4m7!3m6!1s0x3135b22dfc1c7b03:0xc155f3c83d888b4!8m2!3d20.8725144!4d105.864565!16s%2Fg%2F11gdkjvcj3!19sChIJA3sc_C2yNTERtIjYgzxfFQw?authuser=0&hl=en&rclk=1,Electronics store,4.3,58,https://www.dienmayxanh.com/?utm_source=GMB_list&utm_medium=organic&utm_campaign=GMB_website,1800 1061,"Siêu thị Điện máy XANH Thường Tín, 122 QL1A, TT. Thường Tín, Thường Tín, Hà Nội 10000"
Siêu thị Mini Hưng Hằng,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+Mini+H%C6%B0ng+H%E1%BA%B1ng/data=!4m7!3m6!1s0x3135b3d58f44480f:0x59c8427591c17266!8m2!3d20.8676264!4d105.8583186!16s%2Fg%2F11j8hwl3m2!19sChIJD0hEj9WzNTERZnLBkXVCyFk?authuser=0&hl=en&rclk=1,Notions store,4,6,,,"Siêu thị Mini Hưng Hằng, 121 P. Nguyễn Phi Khanh, TT. Thường Tín, Thường Tín, Hà Nội"
Cửa Hàng Thủy,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+Th%E1%BB%A7y/data=!4m7!3m6!1s0x3135b22dec70fc65:0x9fb4fc0975e56101!8m2!3d20.871568!4d105.865328!16s%2Fg%2F1hc28c742!19sChIJZfxw7C2yNTERAWHldQn8tJ8?authuser=0&hl=en&rclk=1,Store,,,,,"Cửa Hàng Thủy, 225 Đường Không Tên, TT. Thường Tín, Thường Tín, Hà Nội"
Winmart+,https://www.google.com/maps/place/Winmart%2B/data=!4m7!3m6!1s0x3135b333b3ea24ad:0x909b6c8f76a991b6!8m2!3d20.8680845!4d105.8623128!16s%2Fg%2F11q1vcnq9v!19sChIJrSTqszOzNTERtpGpdo9sm5A?authuser=0&hl=en&rclk=1,Convenience store,5,2,,,"Winmart+, 132 P. Nguyễn Phi Khanh, TT. Thường Tín, Thường Tín, Hà Nội"
