title,link,main_category,rating,reviews,website,phone,address
Kho điện máy xanh thạch thất,https://www.google.com/maps/place/Kho+%C4%91i%E1%BB%87n+m%C3%A1y+xanh+th%E1%BA%A1ch+th%E1%BA%A5t/data=!4m7!3m6!1s0x3134518a78ecaee3:0x9b199eb62a4f697e!8m2!3d21.011863!4d105.6184793!16s%2Fg%2F11j0nfjq0d!19sChIJ467seIpRNDERfmlPKraeGZs?authuser=0&hl=en&rclk=1,Supermarket,4.5,2,,,"Kho điện máy xanh thạch thất, 64, ĐT80, Phùng Xá, Thạch Thất, Hà Nội"
Siêu Thị Mạnh Quân,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+M%E1%BA%A1nh+Qu%C3%A2n/data=!4m7!3m6!1s0x31345bdc669aaadd:0xd3faec175b49b779!8m2!3d21.0096008!4d105.5180616!16s%2Fg%2F11lkp10npx!19sChIJ3aqaZtxbNDERebdJWxfs-tM?authuser=0&hl=en&rclk=1,Variety store,4.5,35,,0332 578 356,"Siêu Thị Mạnh Quân, Thạch Hoà, Thạch Thất, Hà Nội"
Sofa Tú Hà,https://www.google.com/maps/place/Sofa+T%C3%BA+H%C3%A0/data=!4m7!3m6!1s0x313450caec2e96ff:0xa381cda16ae78b8e!8m2!3d21.0272688!4d105.6195974!16s%2Fg%2F1pzq4cr99!19sChIJ_5Yu7MpQNDERjovnaqHNgaM?authuser=0&hl=en&rclk=1,Department store,4.1,8,,0944 797 912,"2JG9+WR5 Sofa Tú Hà, Thôn Sen, Xã Xã Hữu Bằng, Huyện Thạch Thất, Hữu Bằng, Thạch Thất, Hà Nội"
Dora Mart,https://www.google.com/maps/place/Dora+Mart/data=!4m7!3m6!1s0x31345b2e264bdf87:0x23e1c24df2e1b086!8m2!3d21.0107872!4d105.5064087!16s%2Fg%2F11tx60t41d!19sChIJh99LJi5bNDERhrDh8k3C4SM?authuser=0&hl=en&rclk=1,Supermarket,,,https://www.sieuthidora.com/,0387 570 896,"Dora Mart, Thôn 2, Thạch Thất, Hà Nội 100000"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3134570f5e7eed57:0xf16c7c8de98b5c3a!8m2!3d21.0322215!4d105.6042366!16s%2Fg%2F11fnxnmtzl!19sChIJV-1-Xg9XNDEROlyL6Y18bPE?authuser=0&hl=en&rclk=1,Grocery store,4,30,http://vinmart.com/,,"2JJ3+VMQ WinMart+, Hữu Bằng, Thạch Thất, Hà Nội"
Tạp hoá Hậu Chinh,https://www.google.com/maps/place/T%E1%BA%A1p+ho%C3%A1+H%E1%BA%ADu+Chinh/data=!4m7!3m6!1s0x313457c59ce6754d:0x3eb5a0185e7cb5e8!8m2!3d21.054998!4d105.615429!16s%2Fg%2F11h_c9zm09!19sChIJTXXmnMVXNDER6LV8XhigtT4?authuser=0&hl=en&rclk=1,Grocery store,5,1,,,"Tạp hoá Hậu Chinh, 3, Canh Nậu, Thạch Thất, Hà Nội"
Siêu thị Sunshine Hữu Bằng,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+Sunshine+H%E1%BB%AFu+B%E1%BA%B1ng/data=!4m7!3m6!1s0x3134517d47fcf94b:0xe857cfe189cacac8!8m2!3d21.0264495!4d105.6124785!16s%2Fg%2F11lm215x9m!19sChIJS_n8R31RNDERyMrKieHPV-g?authuser=0&hl=en&rclk=1,Supermarket,,,,0976 242 488,"Siêu thị Sunshine Hữu Bằng, Ngã 3 chợ, Hữu Bằng, Thạch Thất, Hà Nội"
Siêu Thị Bánh Tráng TANA Thạch Thất,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+B%C3%A1nh+Tr%C3%A1ng+TANA+Th%E1%BA%A1ch+Th%E1%BA%A5t/data=!4m7!3m6!1s0x313451b0d7d23789:0x177241152907f67b!8m2!3d21.0248947!4d105.6184061!16s%2Fg%2F11mtjsks7d!19sChIJiTfS17BRNDERe_YHKRVBchc?authuser=0&hl=en&rclk=1,Supermarket,2.9,7,,0914 840 143,"Siêu Thị Bánh Tráng TANA Thạch Thất, 46, Hữu Bằng, Thạch Thất, Hà Nội"
Nghỉ,https://www.google.com/maps/place/Ngh%E1%BB%89/data=!4m7!3m6!1s0x313451b8a80e603b:0x44413ba2ae11925c!8m2!3d21.0267782!4d105.6172434!16s%2Fg%2F11jzdx3fxz!19sChIJO2AOqLhRNDERXJIRrqI7QUQ?authuser=0&hl=en&rclk=1,Grocery store,,,,,"Nghỉ, 36 Hoa Sữa, Hữu Bằng, Thạch Thất, Hà Nội"
Thanh Bình Mart,https://www.google.com/maps/place/Thanh+B%C3%ACnh+Mart/data=!4m7!3m6!1s0x31345b674ad5e0db:0x511cbd58f7afd9da!8m2!3d20.9897971!4d105.5128864!16s%2Fg%2F11m_dy8r1d!19sChIJ2-DVSmdbNDER2tmv91i9HFE?authuser=0&hl=en&rclk=1,Supermarket,5,3,,0372 917 777,"XGQ7+W56 Thanh Bình Mart, Unnamed Road, Tiến Xuân, Thạch Thất, Hà Nội"
