title,link,main_category,rating,reviews,website,phone,address
Nhà Phân Phối Nhựa Song Long - Nhật Canh,https://www.google.com/maps/place/Nh%C3%A0+Ph%C3%A2n+Ph%E1%BB%91i+Nh%E1%BB%B1a+Song+Long+-+Nh%E1%BA%ADt+Canh/data=!4m7!3m6!1s0x3134570922ceae97:0x91aa5fa8dd9615fa!8m2!3d21.0882188!4d105.6589003!16s%2Fg%2F11fhh4v848!19sChIJl67OIglXNDER-hWW3ahfqpE?authuser=0&hl=en&rclk=1,Store,5,11,http://facebook.com/nhatcanhphung,0979 944 899,"Nhà Phân Phối Nhựa Song Long - Nhật Canh, 53 phố Phùng Hưng, TT. Phùng, Đan Phượng, Hà Nội"
Cửa Hàng Điện Tử - Điện Lạnh Thủy Nam,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+%C4%90i%E1%BB%87n+T%E1%BB%AD+-+%C4%90i%E1%BB%87n+L%E1%BA%A1nh+Th%E1%BB%A7y+Nam/data=!4m7!3m6!1s0x313456424c95549f:0xcf8d8f2b9d77e20f!8m2!3d21.0869313!4d105.6620035!16s%2Fg%2F1pp2v32p_!19sChIJn1SVTEJWNDERD-J3nSuPjc8?authuser=0&hl=en&rclk=1,Electronics store,,,,024 3388 5239,"Cửa Hàng Điện Tử - Điện Lạnh Thủy Nam, 37 Nguyễn Thái Học, TT. Phùng, Đan Phượng, Hà Nội"
Do Nhua Gia Dung Xuyến Cường,https://www.google.com/maps/place/Do+Nhua+Gia+Dung+Xuy%E1%BA%BFn+C%C6%B0%E1%BB%9Dng/data=!4m7!3m6!1s0x313457587a0ebbe5:0xb3cea97306167929!8m2!3d21.086973!4d105.6587798!16s%2Fg%2F11hg5pj46f!19sChIJ5bsOelhXNDERKXkWBnOpzrM?authuser=0&hl=en&rclk=1,Home goods store,5,1,,0961 638 686,"Do Nhua Gia Dung Xuyến Cường, 136 Phùng Hưng, TT. Phùng, Đan Phượng, Hà Nội 153300"
Vinmart+ Phan Xích,https://www.google.com/maps/place/Vinmart%2B+Phan+X%C3%ADch/data=!4m7!3m6!1s0x313455e866b3efc5:0x72074a5dabbb7ed5!8m2!3d21.0936813!4d105.7010779!16s%2Fg%2F11nmm1zvgf!19sChIJxe-zZuhVNDER1X67q11KB3I?authuser=0&hl=en&rclk=1,Supermarket,4.3,12,,,"Vinmart+ Phan Xích, Tân Hội, Đan Phượng, Hà Nội"
Điện Máy MediaMart Phùng,https://www.google.com/maps/place/%C4%90i%E1%BB%87n+M%C3%A1y+MediaMart+Ph%C3%B9ng/data=!4m7!3m6!1s0x313457dba609b4e3:0xaf7375abb0973cba!8m2!3d21.0845672!4d105.6702649!16s%2Fg%2F11gsmtvrv2!19sChIJ47QJpttXNDERujyXsKt1c68?authuser=0&hl=en&rclk=1,Electronics store,3.8,65,https://mediamart.vn/,1900 6788,"Điện Máy MediaMart Phùng, 224 Tây Sơn, TT. Phùng, Đan Phượng, Hà Nội"
Kiddy Mart Supermarket,https://www.google.com/maps/place/Kiddy+Mart+Supermarket/data=!4m7!3m6!1s0x313456426f9a2fff:0x6fe47789a75abe61!8m2!3d21.0865276!4d105.6641434!16s%2Fg%2F1pzrwrnd0!19sChIJ_y-ab0JWNDERYb5ap4l35G8?authuser=0&hl=en&rclk=1,Supermarket,4.5,2,,,"Kiddy Mart Supermarket, 18 Nguyễn Thái Học, Đan Phượng, Hà Nội"
"Siêu thị Điện máy XANH Tân Hội, Đan Phượng","https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+%C4%90i%E1%BB%87n+m%C3%A1y+XANH+T%C3%A2n+H%E1%BB%99i,+%C4%90an+Ph%C6%B0%E1%BB%A3ng/data=!4m7!3m6!1s0x313455e95ddc46e7:0x45e2d8d148f0e011!8m2!3d21.095163!4d105.7053766!16s%2Fg%2F11f3290vpf!19sChIJ50bcXelVNDEREeDwSNHY4kU?authuser=0&hl=en&rclk=1",Electronics store,4.5,93,https://www.dienmayxanh.com/?utm_source=GMB_list&utm_medium=organic&utm_campaign=GMB_website,1800 1061,"Siêu thị Điện máy XANH Tân Hội, Đan Phượng, 208 Tân Hội, Phố Tây Sơn, Tân Hội, Đan Phượng, Hà Nội 10000"
Điện Máy Xanh,https://www.google.com/maps/place/%C4%90i%E1%BB%87n+M%C3%A1y+Xanh/data=!4m7!3m6!1s0x3134566f6d6d13b5:0xc1774ff0cb0dcc16!8m2!3d21.083494!4d105.6726843!16s%2Fg%2F11b_3gj92b!19sChIJtRNtbW9WNDERFswNy_BPd8E?authuser=0&hl=en&rclk=1,Electronics store,4.5,147,https://www.dienmayxanh.com/?utm_source=GMB_list&utm_medium=organic&utm_campaign=GMB_website,1800 1061,"Điện Máy Xanh, 186 Tây Sơn, TT. Phùng, Đan Phượng, Hà Nội 10000"
Winmart Hoài Đức,https://www.google.com/maps/place/Winmart+Ho%C3%A0i+%C4%90%E1%BB%A9c/data=!4m7!3m6!1s0x3134555ff280d427:0x4b7610b32cc3f618!8m2!3d21.0741516!4d105.7007024!16s%2Fg%2F11v6svxxxy!19sChIJJ9SA8l9VNDERGPbDLLMQdks?authuser=0&hl=en&rclk=1,Supermarket,5,1,,,"3PF2+M83 Winmart Hoài Đức, Tân Tây Đô, Đan Phượng, Hà Nội"
Siêu Thị Đan Phượng,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+%C4%90an+Ph%C6%B0%E1%BB%A3ng/data=!4m7!3m6!1s0x313457b01f53ad7f:0x72487b08b5d4bd34!8m2!3d21.0862178!4d105.6664017!16s%2Fg%2F11v3gk1j3z!19sChIJf61TH7BXNDERNL3UtQh7SHI?authuser=0&hl=en&rclk=1,Shopping mall,5,2,,0906 011 368,"Siêu Thị Đan Phượng, 90 Tây Sơn, Đan Phượng, Hà Nội 120000"
