title,link,main_category,rating,reviews,website,phone,address
Lan Chi Supermarket,https://www.google.com/maps/place/Lan+Chi+Supermarket/data=!4m7!3m6!1s0x313500e2062b9f69:0x241aab147d467f27!8m2!3d21.1470965!4d105.8466277!16s%2Fg%2F11cn6fc_bz!19sChIJaZ8rBuIANTERJ39GfRSrGiQ?authuser=0&hl=en&rclk=1,Supermarket,3.9,689,http://lanchi.vn/,0916 603 888,"Lan Chi Supermarket, KhốI 2A QL3, Đông Anh, Hà Nội"
Siêu thị Điện Máy Eco-Mart Đông Anh,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+%C4%90i%E1%BB%87n+M%C3%A1y+Eco-Mart+%C4%90%C3%B4ng+Anh/data=!4m7!3m6!1s0x3135011be693ec13:0x6ca9dcbbfa6931ee!8m2!3d21.1536122!4d105.8460277!16s%2Fg%2F1hc9355ml!19sChIJE-yT5hsBNTER7jFp-rvcqWw?authuser=0&hl=en&rclk=1,Supermarket,3.8,195,http://www.eco-mart.com.vn/,0974 178 586,"Siêu thị Điện Máy Eco-Mart Đông Anh, Km 13, QL3, Đông Anh, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x313501d2bb8d4be1:0xeb40b0538ca02b34!8m2!3d21.1694769!4d105.8569102!16s%2Fg%2F11j4893sjy!19sChIJ4UuNu9IBNTERNCugjFOwQOs?authuser=0&hl=en&rclk=1,Supermarket,3.9,29,http://winmart.vn/,,"5V94+QQV WinMart+, Uy Nỗ, Đông Anh, Hà Nội"
WinMart+tổ 25 đông anh,https://www.google.com/maps/place/WinMart%2Bt%E1%BB%95+25+%C4%91%C3%B4ng+anh/data=!4m7!3m6!1s0x31350171195074cb:0xc86bb29f6dc35d63!8m2!3d21.1704402!4d105.84428!16s%2Fg%2F11h3mrsjqm!19sChIJy3RQGXEBNTERY13DbZ-ya8g?authuser=0&hl=en&rclk=1,Supermarket,4,30,http://winmart.vn/,,"5RCV+5PC WinMart+tổ 25 đông anh, Đông Anh, Hà Nội"
Siêu thị Vinsmart,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+Vinsmart/data=!4m7!3m6!1s0x313501e862ee9a17:0x4f978f470ea54371!8m2!3d21.162687!4d105.8495307!16s%2Fg%2F11fnvwpxmw!19sChIJF5ruYugBNTERcUOlDkePl08?authuser=0&hl=en&rclk=1,Supermarket,4,1,,,"5R7X+3RC Siêu thị Vinsmart, Lâm Tiên, Đông Anh, Hà Nội"
Điện máy HC Đông Anh,https://www.google.com/maps/place/%C4%90i%E1%BB%87n+m%C3%A1y+HC+%C4%90%C3%B4ng+Anh/data=!4m7!3m6!1s0x3135018c7f30a5f1:0x27eb00689db5a1eb!8m2!3d21.152759!4d105.8459206!16s%2Fg%2F11h0vtg5r5!19sChIJ8aUwf4wBNTER66G1nWgA6yc?authuser=0&hl=en&rclk=1,Hypermarket,4.2,40,https://hc.com.vn/,1800 1788,"Điện máy HC Đông Anh, Km 13, Lương Nỗ 1, Đông Anh, Hà Nội 100000"
VinMart+,https://www.google.com/maps/place/VinMart%2B/data=!4m7!3m6!1s0x313501640d2178eb:0x4538cd27b03678c9!8m2!3d21.1459216!4d105.8625144!16s%2Fg%2F11jns7mbg5!19sChIJ63ghDWQBNTERyXg2sCfNOEU?authuser=0&hl=en&rclk=1,Supermarket,3.8,4,,024 7106 6866,"VinMart+, Tổ 37 Đào Cam Mộc, Uy Nỗ, Đông Anh, Hà Nội 12308"
Siêu thị điện máy Trần Anh - Đông Anh,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+%C4%91i%E1%BB%87n+m%C3%A1y+Tr%E1%BA%A7n+Anh+-+%C4%90%C3%B4ng+Anh/data=!4m7!3m6!1s0x313501a88df8b45f:0x3487494a310a1ba3!8m2!3d21.146676!4d105.846178!16s%2Fg%2F11jfrvdzqx!19sChIJX7T4jagBNTERoxsKMUpJhzQ?authuser=0&hl=en&rclk=1,Hypermarket,4.5,2,http://www.trananh.vn/,1900 545545,"Siêu thị điện máy Trần Anh - Đông Anh, Tổ 6 KM12 - Quốc lộ 3 - Đông Anh, Hà Nội 100000"
Siêu thị Mini AQ MART,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+Mini+AQ+MART/data=!4m7!3m6!1s0x313501a5b97e3bbb:0x45f1b20dca0e6f01!8m2!3d21.1632018!4d105.8471274!16s%2Fg%2F11t828nj99!19sChIJuzt-uaUBNTERAW8Oyg2y8UU?authuser=0&hl=en&rclk=1,Supermarket,5,1,,0967 600 185,"Siêu thị Mini AQ MART, tổ 14 Lâm Tiên, Đông Anh, Hà Nội"
Vinmart+,https://www.google.com/maps/place/Vinmart%2B/data=!4m7!3m6!1s0x313501a164cb3c77:0xe4bd7fb3439fd8b5!8m2!3d21.1740885!4d105.8316107!16s%2Fg%2F11h5p6tbcc!19sChIJdzzLZKEBNTERtdifQ7N_veQ?authuser=0&hl=en&rclk=1,Supermarket,,,,,"Vinmart+, Nhà văn hóa thôn Sơn Du, 56, Đông Anh, Hà Nội"
VinMart+ 53 Cao Lỗ,https://www.google.com/maps/place/VinMart%2B+53+Cao+L%E1%BB%97/data=!4m7!3m6!1s0x313500e6ca5de00f:0xb6e1fdb3a89b91af!8m2!3d21.1407545!4d105.8482196!16s%2Fg%2F11fwys6wvy!19sChIJD-BdyuYANTERr5GbqLP94bY?authuser=0&hl=en&rclk=1,Supermarket,4.8,8,,024 7106 6866,"VinMart+ 53 Cao Lỗ, Số 53 Cao Lỗ, thôn Phan Xá, Đông Anh, Hà Nội 12307"
Green Electronics Đông Anh,https://www.google.com/maps/place/Green+Electronics+%C4%90%C3%B4ng+Anh/data=!4m7!3m6!1s0x313500e3ed5ed4bd:0x2c3951b408229db3!8m2!3d21.142519!4d105.8453035!16s%2Fg%2F11bz081bz5!19sChIJvdRe7eMANTERs50iCLRROSw?authuser=0&hl=en&rclk=1,Electronics store,4.3,266,https://www.dienmayxanh.com/?utm_source=GMB_list&utm_medium=organic&utm_campaign=GMB_website,1800 1061,"Green Electronics Đông Anh, Tổ 4, khối 1, thị trấn Đông Anh,, Đông Anh, Hà Nội 100000"
Thái Dương Mart,https://www.google.com/maps/place/Th%C3%A1i+D%C6%B0%C6%A1ng+Mart/data=!4m7!3m6!1s0x3135012067e5d55d:0xc4f517883d46f679!8m2!3d21.1499369!4d105.8620624!16s%2Fg%2F11l9gqcnjy!19sChIJXdXlZyABNTERefZGPYgX9cQ?authuser=0&hl=en&rclk=1,Hypermarket,,,,,"4VX6+XRF Thái Dương Mart, Đ. Đản Dị, Uy Nỗ, Đông Anh, Hà Nội"
