title,link,main_category,rating,reviews,website,phone,address
Supermarket Hoang Cau,https://www.google.com/maps/place/Supermarket+Hoang+Cau/data=!4m7!3m6!1s0x3135ab791c9307b3:0x98a8ae12a5c09da8!8m2!3d21.0170595!4d105.8263839!16s%2Fg%2F11c154p0__!19sChIJsweTHHmrNTERqJ3ApRKuqJg?authuser=0&hl=en&rclk=1,Supermarket,3.9,257,,,"Supermarket Hoang Cau, tập thể Bộ Công an, P. Hoàng Cầu/C20 Ng. 59 P. Hoàng Cầu, Chợ Dừa, Đống Đa, Hà Nội 10000"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135ab9b57962237:0xc5e838cf1f0f128a!8m2!3d21.0210718!4d105.8349856!16s%2Fg%2F11c1q7p_ky!19sChIJNyKWV5urNTERihIPH8846MU?authuser=0&hl=en&rclk=1,Supermarket,4.2,45,http://winmart.vn/,024 7106 6866,"WinMart+, Số 230 ngõ Văn Chương. phố Khâm Thiên, Đống Đa, Hà Nội 11507"
Siêu thị FujiMart Hoàng Cầu,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+FujiMart+Ho%C3%A0ng+C%E1%BA%A7u/data=!4m7!3m6!1s0x3135ab1b1fdd337b:0x11d082077ea54fa5!8m2!3d21.0195826!4d105.8237803!16s%2Fg%2F11k1bjhmhh!19sChIJezPdHxurNTERpU-lfgeC0BE?authuser=0&hl=en&rclk=1,Supermarket,4.5,343,https://fujimart.vn/,024 3203 0036,"Siêu thị FujiMart Hoàng Cầu, 36 Ng. 34 P. Hoàng Cầu, Chợ Dừa, Đống Đa, Hà Nội 100000"
Siêu Thị Điện Tử Megabuy,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+%C4%90i%E1%BB%87n+T%E1%BB%AD+Megabuy/data=!4m7!3m6!1s0x3135ab7c57e7c041:0xb037c01068dd8282!8m2!3d21.0086033!4d105.821836!16s%2Fg%2F1v8y1j1w!19sChIJQcDnV3yrNTERgoLdaBDAN7A?authuser=0&hl=en&rclk=1,Supermarket,4,5,https://megabuy.vn/,024 6275 7210,"Siêu Thị Điện Tử Megabuy, 17 Ngõ 178, Đường Thái Hà, Quận Đống Đa, Hà Nội"
WinMart,https://www.google.com/maps/place/WinMart/data=!4m7!3m6!1s0x3135ad8351d36abb:0x44b81124b5fa6233!8m2!3d21.0075284!4d105.8211059!16s%2Fg%2F11h51b4fgn!19sChIJu2rTUYOtNTERM2L6tSQRuEQ?authuser=0&hl=en&rclk=1,Supermarket,4.1,725,http://vinmart.com/,024 7106 6866,"WinMart, 98 P. Thái Thịnh, Ngã Tư Sở, Đống Đa, Hà Nội"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135ab9d2112421f:0xf8b2cf68ff96b5b1!8m2!3d21.0293882!4d105.8351318!16s%2Fg%2F11c1p8b39g!19sChIJH0ISIZ2rNTERsbWW_2jPsvg?authuser=0&hl=en&rclk=1,Supermarket,4.2,34,https://winmart.vn/,024 7106 6866,"WinMart+, 28 P. Tôn Đức Thắng, Cát Linh, Đống Đa, Hà Nội 11510"
WinMart+,https://www.google.com/maps/place/WinMart%2B/data=!4m7!3m6!1s0x3135ab82e951ed67:0x1bb67be1b7a1ae1c!8m2!3d21.0190272!4d105.830765!16s%2Fg%2F11clvy8543!19sChIJZ-1R6YKrNTERHK6ht-F7ths?authuser=0&hl=en&rclk=1,Supermarket,4.3,45,https://winmart.vn/,024 7106 6866,"WinMart+, Số 281 phố, P. Khâm Thiên, Thổ Quan, Đống Đa, Hà Nội 11525"
Phuc Anh Computer Company,https://www.google.com/maps/place/Phuc+Anh+Computer+Company/data=!4m7!3m6!1s0x3135ab871916eb05:0x696fde03613dd134!8m2!3d21.011203!4d105.836615!16s%2Fg%2F1td6pq0f!19sChIJBesWGYerNTERNNE9YQPeb2k?authuser=0&hl=en&rclk=1,Computer store,4.1,722,https://www.phucanh.vn/,1900 2164,"Phuc Anh Computer Company, 15 P. Xã Đàn, Phương Liên, Đống Đa, Hà Nội"
Unimart,https://www.google.com/maps/place/Unimart/data=!4m7!3m6!1s0x3135ab7945de6017:0xe6d7484ef034f77!8m2!3d21.0165842!4d105.8242504!16s%2Fg%2F11cs237x5d!19sChIJF2DeRXmrNTERd08D74R0bQ4?authuser=0&hl=en&rclk=1,Discount supermarket,4,1,,,"Unimart, 6 Tập thể A37, Chợ Dừa, Đống Đa, Hà Nội"
Đại siêu thị trực tuyến Thanh Chúc,https://www.google.com/maps/place/%C4%90%E1%BA%A1i+si%C3%AAu+th%E1%BB%8B+tr%E1%BB%B1c+tuy%E1%BA%BFn+Thanh+Ch%C3%BAc/data=!4m7!3m6!1s0x3135ab871ebf607b:0xf8a9e7c44dec2e96!8m2!3d21.0114356!4d105.8365127!16s%2Fg%2F11byckpgp6!19sChIJe2C_HoerNTERli7sTcTnqfg?authuser=0&hl=en&rclk=1,Discount supermarket,3.7,6,,024 3577 3066,"Đại siêu thị trực tuyến Thanh Chúc, 23 P. Xã Đàn, Phương Liên, Đống Đa, Hà Nội"
