title,link,main_category,rating,reviews,website,phone,address
Siêu thị Hà Công mart,https://www.google.com/maps/place/Si%C3%AAu+th%E1%BB%8B+H%C3%A0+C%C3%B4ng+mart/data=!4m7!3m6!1s0x3134351489d5ff5d:0xff7b4d2d03cb2e1!8m2!3d20.6957438!4d105.7675103!16s%2Fg%2F11pv9d830p!19sChIJXf_ViRQ1NDER4bI80NK09w8?authuser=0&hl=en&rclk=1,Supermarket,,,,0985 012 699,"MQW9+82 Siêu thị Hà Công mart, Vạn Thái, Ứng Hòa, Hà Nội"
Cửa Hàng Bách Hóa Tổng Hợp,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+B%C3%A1ch+H%C3%B3a+T%E1%BB%95ng+H%E1%BB%A3p/data=!4m7!3m6!1s0x3134355097b96363:0x2499b2c7a1665e02!8m2!3d20.729034!4d105.7713297!16s%2Fg%2F11btrs2pxn!19sChIJY2O5l1A1NDERAl5moceymSQ?authuser=0&hl=en&rclk=1,Department store,,,,,"Cửa Hàng Bách Hóa Tổng Hợp, 53 QL21B, TT. Vân Đình, Ứng Hòa, Hà Nội"
siêu thị điện thoại Trang chí,https://www.google.com/maps/place/si%C3%AAu+th%E1%BB%8B+%C4%91i%E1%BB%87n+tho%E1%BA%A1i+Trang+ch%C3%AD/data=!4m7!3m6!1s0x31344b15aa9a2657:0x79c71d0e32121165!8m2!3d20.8055063!4d105.709098!16s%2Fg%2F11j8hz001t!19sChIJVyaaqhVLNDERZRESMg4dx3k?authuser=0&hl=en&rclk=1,Supermarket,5,4,,,"RP45+6J5 siêu thị điện thoại Trang chí, ĐT429, Viên An, Ứng Hòa, Hà Nội"
HÒA HUỆ Mart,https://www.google.com/maps/place/H%C3%92A+HU%E1%BB%86+Mart/data=!4m7!3m6!1s0x31344d865d01a6e9:0xcd06cd41bed67fa!8m2!3d20.8355764!4d105.7106749!16s%2Fg%2F11v3_wv94q!19sChIJ6aYBXYZNNDER-mftG9Rs0Aw?authuser=0&hl=en&rclk=1,Supermarket,,,,,"RPP6+67M HÒA HUỆ Mart, Ngã 3 Cờ Quạt, Hòa Xá, Chương Mỹ, Hà Nội"
Dmx Ứng Hoà Tế Tiêu,https://www.google.com/maps/place/Dmx+%E1%BB%A8ng+Ho%C3%A0+T%E1%BA%BF+Ti%C3%AAu/data=!4m7!3m6!1s0x313435126af9d3f7:0x7a3bd5d44ca5f15d!8m2!3d20.6898762!4d105.7501262!16s%2Fg%2F11fq_667y_!19sChIJ99P5ahI1NDERXfGlTNTVO3o?authuser=0&hl=en&rclk=1,Supermarket,5,1,,,"MQQ2+X32 Dmx Ứng Hoà Tế Tiêu, Đường tỉnh 76, Hòa Xá, Ứng Hòa, Hà Nội"
Media Mart Tế Tiêu,https://www.google.com/maps/place/Media+Mart+T%E1%BA%BF+Ti%C3%AAu/data=!4m7!3m6!1s0x3134351f6aaaaaab:0xb9687f1b3ff72c4!8m2!3d20.6893577!4d105.7489166!16s%2Fg%2F11f3n6bk_z!19sChIJq6qqah81NDERxHL_s_GHlgs?authuser=0&hl=en&rclk=1,Electronics store,4.1,38,http://thegioidienmay.com/,1900 6788,"MPQX+PHV Media Mart Tế Tiêu, Hòa Xá, Ứng Hòa, Hà Nội"
Siêu Thị Gia Đình Lyly Mart,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+Gia+%C4%90%C3%ACnh+Lyly+Mart/data=!4m7!3m6!1s0x3135cbc4a1b3b27b:0xc36e4d1907b82d2f!8m2!3d20.7283438!4d105.7970269!16s%2Fg%2F11nxr1jzln!19sChIJe7KzocTLNTERLy24BxlNbsM?authuser=0&hl=en&rclk=1,Supermarket,5,2,https://www.facebook.com/sieuthigiadinhlylymart,0339 972 242,"Siêu Thị Gia Đình Lyly Mart, Phương Tú, Ứng Hòa, Hà Nội 100000"
Tạp hóa Hiền chiến,https://www.google.com/maps/place/T%E1%BA%A1p+h%C3%B3a+Hi%E1%BB%81n+chi%E1%BA%BFn/data=!4m7!3m6!1s0x3135cb8d95c5c6f3:0xe2c5a5241c88798a!8m2!3d20.6638077!4d105.8674327!16s%2Fg%2F11h60nzzy3!19sChIJ88bFlY3LNTERinmIHCSlxeI?authuser=0&hl=en&rclk=1,Supermarket,4.6,8,,0363 531 410,"MV78+GXF Tạp hóa Hiền chiến, Kim Dường, Ứng Hòa, Hà Nội"
Siêu Thị WinMart,https://www.google.com/maps/place/Si%C3%AAu+Th%E1%BB%8B+WinMart/data=!4m7!3m6!1s0x3135cbcfc1630c91:0xf82389efea83668f!8m2!3d20.7192192!4d105.8329403!16s%2Fg%2F11s2303zx_!19sChIJkQxjwc_LNTERj2aD6u-JI_g?authuser=0&hl=en&rclk=1,Convenience store,1,3,,,"PR9M+M5P Siêu Thị WinMart, Trung Tú, Ứng Hòa, Hà Nội"
Cửa hàng tạp hoá Thông Hà,https://www.google.com/maps/place/C%E1%BB%ADa+h%C3%A0ng+t%E1%BA%A1p+ho%C3%A1+Th%C3%B4ng+H%C3%A0/data=!4m7!3m6!1s0x3134359cd0733143:0x362305d37c28cb3f!8m2!3d20.6942086!4d105.7691053!16s%2Fg%2F11gjqlh3wl!19sChIJQzFz0Jw1NDERP8sofNMFIzY?authuser=0&hl=en&rclk=1,Grocery store,3.7,3,,0973 567 783,"MQV9+MJQ Cửa hàng tạp hoá Thông Hà, đầu Làng, Ứng Hòa, Hà Nội"
